Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.6624  2.1380    -9.1065 -2.4827
      1  -7.4222  1.2235    -6.5450 -5.8836
      2  -8.1996  0.8812    -3.7554 -7.3829
      3  -7.6435  0.7468    -8.6223 -7.1735
      4  -7.9191  0.7603    -8.9126 -7.5969
      5  -7.9656  0.5918    -8.8848 -7.6695
      6  -7.9886  0.4756    -8.8567 -7.6945
      7  -8.0006  0.3996    -8.8284 -7.7137
      8  -8.0085  0.3510    -8.8017 -7.7329
      9  -7.9555  0.8515    -9.1813 -7.5029
     10  -7.8231  0.7161    -8.8750 -7.4849
     11  -7.7021  0.6292    -8.4593 -7.4458
     12  -7.8302  0.7230    -8.7721 -7.6056
     13  -7.9713  1.1285    -9.1980 -7.3233
     14  -7.8848  1.8041    -3.9383 -3.1700
     15  -8.1563  1.4052    -3.6993 -5.6012
     16  -5.0047  2.7692    -9.1129 -0.5664
     17  -5.1563  2.7868    -9.1515 -0.5976
     18  -5.3890  2.8045    -9.1994 -0.6503
     19  -5.7401  2.8044    -7.7654 -0.7430

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0589     0.0062  0.1898
      1   0.1016  0.0588     0.0064  0.1898
      2   0.1028  0.0582     0.0082  0.1899
      3   0.0991  0.0592     0.0059  0.1893
      4   0.0947  0.0592     0.0053  0.1881
      5   0.1002  0.0574     0.0103  0.1889
      6   0.1042  0.0558     0.0148  0.1895
      7   0.1080  0.0545     0.0187  0.1900
      8   0.1117  0.0533     0.0225  0.1906
      9   0.0415  0.0299     0.0023  0.0964
     10   0.0487  0.0319     0.0041  0.1061
     11   0.0549  0.0337     0.0058  0.1148
     12   0.0460  0.0294     0.0035  0.0974
     13   0.0256  0.0178     0.0001  0.0559
     14   0.0128  0.0094     0.0000  0.0266
     15   0.0139  0.0090     0.0001  0.0270
     16   0.0004  0.0013     0.0000  0.0001
     17   0.0006  0.0018     0.0000  0.0020
     18   0.0010  0.0023     0.0000  0.0043
     19   0.0016  0.0029     0.0000  0.0055

