Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.7886  1.3725    -4.5953 -5.8147
      1  -6.9939  1.2268    -8.1895 -4.9452
      2  -6.5721  1.1885    -7.5843 -4.4245
      3  -6.2986  1.1559    -7.2513 -4.2055
      4  -5.9695  1.1736    -7.0105 -3.7697
      5  -6.3071  0.9578    -7.0487 -5.0825
      6  -6.0118  1.1209    -6.8529 -3.9223
      7  -5.2935  1.6418    -7.5686 -1.5842
      8  -5.4170  1.3763    -6.9324 -2.4431
      9  -4.7051  1.7326    -7.6994 -1.2209
     10  -4.7508  1.5074    -6.8380 -1.6698
     11  -4.7822  1.3346    -6.4938 -2.1489
     12  -5.1284  1.0609    -6.5147 -3.5539
     13  -5.1556  0.9264    -6.4408 -3.8465
     14  -5.3942  0.7910    -6.5234 -4.4121
     15  -5.5511  0.6952    -6.5682 -4.7594
     16  -5.6872  0.6316    -6.6557 -5.0085
     17  -5.4417  0.7077    -6.4453 -4.7254
     18  -5.5240  0.6201    -6.4713 -4.8857
     19  -5.4550  0.5514    -6.3023 -4.8548

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0995  0.0614     0.0001  0.1899
      1   0.0905  0.0633     0.0001  0.1885
      2   0.0809  0.0628     0.0001  0.1861
      3   0.0688  0.0591     0.0001  0.1796
      4   0.0471  0.0465     0.0001  0.1462
      5   0.0635  0.0508     0.0001  0.1630
      6   0.0412  0.0381     0.0000  0.1160
      7   0.0104  0.0103     0.0000  0.0272
      8   0.0119  0.0102     0.0000  0.0286
      9   0.0058  0.0045     0.0000  0.0112
     10   0.0067  0.0041     0.0000  0.0117
     11   0.0074  0.0038     0.0000  0.0120
     12   0.0080  0.0041     0.0001  0.0129
     13   0.0083  0.0038     0.0002  0.0130
     14   0.0088  0.0042     0.0002  0.0136
     15   0.0094  0.0045     0.0003  0.0144
     16   0.0099  0.0047     0.0004  0.0160
     17   0.0086  0.0039     0.0002  0.0132
     18   0.0090  0.0040     0.0004  0.0135
     19   0.0095  0.0042     0.0005  0.0138

