Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.5494  1.6094    -5.0524 -0.2731
      1  -3.8149  0.9450    -5.1894 -2.6985
      2  -4.4591  0.6882    -5.2566 -3.9033
      3  -4.7413  0.5996    -5.3947 -4.3796
      4  -4.9093  0.5611    -5.5184 -4.7188
      5  -5.0905  0.6276    -5.9880 -4.8562
      6  -5.6055  1.2125    -8.2632 -4.7698
      7  -6.4269  1.6348    -9.0497 -3.5171
      8  -7.0301  1.7316    -8.2472 -3.3036
      9  -7.2156  1.4762    -7.9527 -5.2494
     10  -7.3224  1.2954    -7.7934 -5.6806
     11  -6.7914  1.2211    -8.9404 -5.4284
     12  -7.1014  1.1859    -9.0907 -5.8208
     13  -7.5126  1.2126    -7.9809 -6.1548
     14  -7.8037  1.1728    -5.5788 -6.5120
     15  -7.8745  1.0098    -5.4973 -6.6619
     16  -7.6165  1.0197    -8.8313 -6.4815
     17  -7.3502  0.9893    -9.0407 -6.3409
     18  -7.1333  0.9117    -8.7399 -6.2264
     19  -6.9518  0.8921    -8.4623 -6.0973

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1008  0.0594     0.0044  0.1898
      1   0.1008  0.0595     0.0041  0.1898
      2   0.1006  0.0597     0.0038  0.1898
      3   0.1018  0.0595     0.0045  0.1901
      4   0.1044  0.0596     0.0050  0.1908
      5   0.1004  0.0620     0.0031  0.1907
      6   0.0274  0.0276     0.0001  0.0809
      7   0.0089  0.0065     0.0000  0.0186
      8   0.0069  0.0041     0.0000  0.0119
      9   0.0075  0.0037     0.0001  0.0121
     10   0.0078  0.0035     0.0001  0.0122
     11   0.0082  0.0040     0.0001  0.0130
     12   0.0080  0.0037     0.0001  0.0126
     13   0.0073  0.0029     0.0001  0.0106
     14   0.0072  0.0025     0.0001  0.0093
     15   0.0074  0.0023     0.0003  0.0095
     16   0.0074  0.0025     0.0003  0.0102
     17   0.0076  0.0027     0.0002  0.0109
     18   0.0078  0.0030     0.0003  0.0116
     19   0.0077  0.0030     0.0002  0.0116

