Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5308  2.1270    -6.9452 -0.3737
      1  -1.8060  1.2355    -3.6089 -0.1972
      2  -2.6970  0.8171    -3.6850 -1.8835
      3  -2.2681  0.6388    -2.8984 -1.8035
      4  -2.5531  0.5614    -3.0742 -2.2661
      5  -2.4033  0.5339    -2.8231 -2.1622
      6  -2.4208  0.4047    -2.8123 -2.3790
      7  -2.3857  0.3015    -2.6333 -2.3788
      8  -2.3727  0.2439    -2.6275 -2.3776
      9  -2.2980  0.6305    -2.6305 -1.9575
     10  -2.3049  0.4742    -2.6274 -2.1246
     11  -2.2544  1.0014    -3.0766 -1.6615
     12  -2.2118  0.7698    -2.6338 -1.8688
     13  -2.3353  1.4495    -6.2592 -1.3268
     14  -2.1564  1.1108    -3.7255 -1.3842
     15  -2.0549  0.8443    -2.6660 -1.4179
     16  -2.0558  0.6694    -2.6106 -1.6151
     17  -2.0582  0.5318    -2.5925 -1.7067
     18  -2.0707  0.4329    -2.5867 -1.8433
     19  -2.0066  0.6524    -2.5878 -1.6211

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0591     0.0057  0.1898
      1   0.1011  0.0590     0.0058  0.1898
      2   0.1005  0.0593     0.0052  0.1897
      3   0.1020  0.0588     0.0066  0.1899
      4   0.1032  0.0587     0.0070  0.1902
      5   0.1036  0.0583     0.0075  0.1902
      6   0.1132  0.0555     0.0152  0.1915
      7   0.1215  0.0524     0.0244  0.1925
      8   0.1281  0.0505     0.0313  0.1936
      9   0.0599  0.0404     0.0032  0.1355
     10   0.0649  0.0396     0.0083  0.1389
     11   0.0288  0.0205     0.0001  0.0636
     12   0.0316  0.0201     0.0007  0.0658
     13   0.0146  0.0110     0.0000  0.0319
     14   0.0158  0.0106     0.0001  0.0325
     15   0.0165  0.0103     0.0002  0.0328
     16   0.0180  0.0104     0.0008  0.0339
     17   0.0193  0.0104     0.0014  0.0349
     18   0.0207  0.0104     0.0020  0.0367
     19   0.0156  0.0081     0.0007  0.0270

