trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1007 560.00  0.00 800.00 520.00  0
  1  822 460.00  0.00 800.00 26.00  0
  2  654 370.00  0.00 800.00  6.44  1
  3  676 380.00  0.00 800.00 17.20  0
  4  745 420.00  0.00 800.00  8.60  1
  5  693 390.00  0.00 800.00 12.90  0
  6  727 410.00  0.00 800.00  8.60  1
  7  764 430.00  0.00 800.00 10.80  0
  8  727 410.00  0.00 800.00 10.80  0
  9  656 370.00  0.00 800.00 10.80  0
 10  727 400.00  0.00 800.00  6.44  1
 11  656 360.00  0.00 800.00  8.60  0
 12  564 320.00  0.00 800.00  6.44  1
 13  636 360.00  0.00 800.00  6.44  0
 14 1419 790.00  0.00 800.00 156.00  0
 15 1419 780.00  0.00 800.00 260.00  0
 16  635 360.00  0.00 800.00  4.30  1
 17  510 290.00  0.00 800.00  6.44  1
 18  582 330.00  0.00 800.00  6.44  1
 19  618 350.00  0.00 800.00  6.44  0
