Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.1277  2.4659    -8.1042 -0.4337
      1  -6.1897  1.3490    -8.3514 -4.3583
      2  -5.1244  0.7930    -6.2777 -4.2559
      3  -4.5940  0.5989    -5.3038 -4.1458
      4  -4.2982  0.5685    -4.8480 -3.9372
      5  -4.1245  0.6078    -4.6344 -3.5375
      6  -3.6550  1.1057    -4.5886 -1.3276
      7  -3.9735  0.6711    -4.5649 -3.2947
      8  -3.8577  0.6535    -4.4379 -3.1169
      9  -3.5374  0.9760    -4.4134 -1.9300
     10  -3.0037  1.4276    -5.5386 -0.7726
     11  -3.2576  1.1265    -4.6486 -1.7289
     12  -2.9248  1.5903    -6.8022 -0.8736
     13  -2.7672  1.3214    -4.9149 -0.9548
     14  -2.6728  1.1203    -4.0742 -1.0104
     15  -2.8825  0.9211    -4.0570 -1.6918
     16  -3.0228  0.7807    -4.0703 -2.1093
     17  -3.1371  0.6800    -4.1042 -2.3778
     18  -3.2283  0.5993    -4.1356 -2.5560
     19  -3.4311  0.6458    -4.3340 -2.7509

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0588     0.0066  0.1898
      1   0.1016  0.0587     0.0069  0.1898
      2   0.1016  0.0588     0.0063  0.1898
      3   0.1013  0.0590     0.0058  0.1898
      4   0.1011  0.0597     0.0049  0.1900
      5   0.0993  0.0606     0.0039  0.1898
      6   0.0368  0.0355     0.0001  0.1073
      7   0.0464  0.0369     0.0010  0.1171
      8   0.0462  0.0370     0.0013  0.1177
      9   0.0205  0.0163     0.0001  0.0488
     10   0.0090  0.0064     0.0000  0.0185
     11   0.0105  0.0069     0.0000  0.0201
     12   0.0065  0.0041     0.0000  0.0114
     13   0.0072  0.0037     0.0000  0.0117
     14   0.0076  0.0034     0.0001  0.0119
     15   0.0081  0.0036     0.0001  0.0126
     16   0.0086  0.0038     0.0002  0.0130
     17   0.0090  0.0040     0.0003  0.0134
     18   0.0095  0.0041     0.0004  0.0136
     19   0.0087  0.0037     0.0003  0.0131

