Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1692  1.8627    -9.1582 -3.4584
      1  -4.7729  1.0972    -6.4844 -3.3052
      2  -5.6374  0.7242    -6.5697 -5.0046
      3  -6.0496  0.6183    -6.7549 -5.6872
      4  -5.8776  0.4980    -6.3186 -5.6124
      5  -6.0243  0.4833    -6.4712 -5.8581
      6  -5.7952  0.8367    -6.4774 -5.2586
      7  -5.7248  0.7567    -6.2922 -5.2927
      8  -5.7838  0.5752    -6.2791 -5.6468
      9  -5.8100  0.4248    -6.2691 -5.7917
     10  -5.8234  0.3174    -6.2631 -5.7976
     11  -5.8305  0.2433    -6.2592 -5.8007
     12  -5.8346  0.1940    -6.2566 -5.8032
     13  -5.8367  0.1621    -6.2546 -5.8048
     14  -5.8374  0.1428    -6.2530 -5.8055
     15  -5.8379  0.1308    -6.2517 -5.8063
     16  -5.8382  0.1236    -6.2506 -5.8069
     17  -5.8381  0.1192    -6.2495 -5.8072
     18  -5.8379  0.1166    -6.2487 -5.8074
     19  -5.8377  0.1147    -6.2479 -5.8075

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0590     0.0057  0.1898
      1   0.1016  0.0590     0.0058  0.1899
      2   0.1007  0.0591     0.0054  0.1897
      3   0.1006  0.0592     0.0051  0.1897
      4   0.1051  0.0580     0.0086  0.1904
      5   0.1066  0.0577     0.0088  0.1907
      6   0.0563  0.0435     0.0001  0.1393
      7   0.0609  0.0452     0.0001  0.1469
      8   0.0677  0.0446     0.0033  0.1513
      9   0.0705  0.0437     0.0086  0.1527
     10   0.0724  0.0430     0.0119  0.1537
     11   0.0739  0.0425     0.0145  0.1545
     12   0.0754  0.0421     0.0164  0.1553
     13   0.0767  0.0418     0.0180  0.1560
     14   0.0773  0.0416     0.0190  0.1563
     15   0.0782  0.0414     0.0204  0.1568
     16   0.0790  0.0412     0.0214  0.1572
     17   0.0796  0.0411     0.0221  0.1575
     18   0.0798  0.0410     0.0225  0.1576
     19   0.0802  0.0409     0.0230  0.1578

