Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.1787  2.4098    -9.0576 -1.5585
      1  -7.1760  1.3326    -7.4441 -5.3969
      2  -6.1650  0.8388    -7.3437 -5.3010
      3  -5.6257  0.6223    -6.3409 -5.1718
      4  -5.9149  0.5134    -6.5036 -5.6482
      5  -6.0668  0.4900    -6.5804 -5.8776
      6  -6.0208  0.3601    -6.3168 -5.8761
      7  -5.8214  0.6489    -6.3144 -5.5501
      8  -5.7529  0.5840    -6.2630 -5.5337
      9  -5.8052  0.8657    -6.4406 -5.1783
     10  -5.8918  0.8520    -6.5099 -5.4287
     11  -5.7158  1.0938    -6.5904 -3.6396
     12  -5.7937  0.8244    -6.4497 -5.2942
     13  -5.8491  0.6268    -6.3681 -5.6104
     14  -5.9203  0.6727    -6.5014 -5.6806
     15  -5.9321  0.5164    -6.3656 -5.7936
     16  -5.9844  0.4538    -6.3972 -5.8201
     17  -6.0168  0.3661    -6.3865 -5.8565
     18  -6.0143  0.2824    -6.3149 -5.8608
     19  -6.0355  0.2257    -6.3150 -5.9189

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1016  0.0588     0.0065  0.1898
      1   0.1017  0.0588     0.0067  0.1898
      2   0.1010  0.0592     0.0058  0.1898
      3   0.1012  0.0590     0.0058  0.1898
      4   0.1017  0.0585     0.0070  0.1897
      5   0.1008  0.0584     0.0071  0.1895
      6   0.1122  0.0555     0.0149  0.1913
      7   0.0610  0.0432     0.0013  0.1428
      8   0.0650  0.0446     0.0025  0.1494
      9   0.0397  0.0295     0.0001  0.0917
     10   0.0421  0.0310     0.0001  0.0969
     11   0.0279  0.0220     0.0000  0.0657
     12   0.0298  0.0215     0.0001  0.0668
     13   0.0324  0.0211     0.0008  0.0683
     14   0.0302  0.0200     0.0003  0.0642
     15   0.0324  0.0197     0.0021  0.0658
     16   0.0351  0.0205     0.0032  0.0696
     17   0.0380  0.0208     0.0052  0.0730
     18   0.0401  0.0205     0.0078  0.0743
     19   0.0427  0.0207     0.0094  0.0769

