Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3896  2.9440    -8.5200 -0.0453
      1  -1.6397  2.6110    -8.0126 -0.0370
      2  -1.0631  2.1576    -7.0272 -0.0328
      3  -0.6709  1.8338    -5.8529 -0.0275
      4  -0.4043  1.4727    -3.6283 -0.0252
      5  -0.2255  1.1108    -0.5121 -0.0242
      6  -0.1216  0.7985    -0.2711 -0.0238
      7  -0.0680  0.5678    -0.2673 -0.0236
      8  -0.0404  0.4171    -0.2631 -0.0234
      9  -0.0259  0.3046    -0.2613 -0.0233
     10  -0.0181  0.2141    -0.2607 -0.0232
     11  -0.0142  0.1504    -0.2604 -0.0232
     12  -0.0123  0.1087    -0.2601 -0.0232
     13  -0.0112  0.0763    -0.2601 -0.0232
     14  -0.0107  0.0552    -0.2600 -0.0232
     15  -0.0104  0.0398    -0.2599 -0.0232
     16  -0.0103  0.0288    -0.2599 -0.0232
     17  -0.0102  0.0207    -0.2598 -0.0232
     18  -0.0101  0.0149    -0.2598 -0.0232
     19  -0.0104  0.0406    -0.2598 -0.0232

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0392  0.0580     0.0000  0.1691
      1   0.0522  0.0617     0.0000  0.1767
      2   0.0624  0.0626     0.0000  0.1805
      3   0.0815  0.0636     0.0000  0.1859
      4   0.0965  0.0611     0.0001  0.1887
      5   0.1061  0.0573     0.0016  0.1900
      6   0.1096  0.0550     0.0140  0.1903
      7   0.1115  0.0536     0.0203  0.1905
      8   0.1173  0.0512     0.0284  0.1912
      9   0.1221  0.0491     0.0355  0.1919
     10   0.1226  0.0487     0.0368  0.1919
     11   0.1229  0.0484     0.0375  0.1920
     12   0.1267  0.0469     0.0429  0.1925
     13   0.1269  0.0467     0.0433  0.1925
     14   0.1303  0.0453     0.0483  0.1930
     15   0.1335  0.0440     0.0529  0.1934
     16   0.1365  0.0427     0.0574  0.1938
     17   0.1389  0.0415     0.0615  0.1941
     18   0.1414  0.0404     0.0655  0.1944
     19   0.1079  0.0410     0.0421  0.1784

