Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3896  2.9440    -8.5200 -0.0453
      1  -1.6387  2.6078    -8.0049 -0.0370
      2  -1.0673  2.2532    -7.2588 -0.0306
      3  -2.1209  2.7700    -8.3375 -0.0728
      4  -1.4664  2.3838    -7.6811 -0.0611
      5  -0.9829  1.9187    -6.3852 -0.0548
      6  -0.6582  1.5319    -4.3521 -0.0487
      7  -1.4053  2.1740    -7.3276 -0.1059
      8  -1.0040  1.7208    -5.6996 -0.0971
      9  -0.7600  1.3173    -2.8889 -0.0925
     10  -1.5443  2.0023    -7.0169 -0.1668
     11  -1.2130  1.5935    -5.1633 -0.1562
     12  -1.0134  1.2471    -2.9137 -0.1505
     13  -1.5893  1.6248    -5.6053 -0.3100
     14  -1.3926  1.3086    -3.7099 -0.3063
     15  -1.2803  1.0734    -3.0048 -0.3043
     16  -1.0667  0.9122    -2.3035 -0.2558
     17  -0.9127  0.7985    -1.9460 -0.1992
     18  -0.7914  0.7056    -1.7105 -0.1588
     19  -0.6506  0.7694    -1.5172 -0.0984

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0392  0.0580     0.0000  0.1691
      1   0.0522  0.0618     0.0000  0.1767
      2   0.0693  0.0638     0.0000  0.1829
      3   0.0197  0.0277     0.0000  0.0741
      4   0.0249  0.0291     0.0000  0.0808
      5   0.0288  0.0294     0.0000  0.0848
      6   0.0338  0.0300     0.0001  0.0901
      7   0.0135  0.0133     0.0000  0.0363
      8   0.0153  0.0132     0.0000  0.0379
      9   0.0164  0.0130     0.0001  0.0387
     10   0.0074  0.0055     0.0000  0.0140
     11   0.0083  0.0052     0.0000  0.0149
     12   0.0088  0.0050     0.0001  0.0154
     13   0.0067  0.0033     0.0000  0.0098
     14   0.0071  0.0029     0.0001  0.0101
     15   0.0074  0.0027     0.0002  0.0103
     16   0.0077  0.0028     0.0003  0.0112
     17   0.0079  0.0030     0.0003  0.0119
     18   0.0081  0.0031     0.0004  0.0123
     19   0.0077  0.0026     0.0003  0.0110

