Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.9061  2.0051    -9.1314 -2.9465
      1  -7.4249  1.2194    -6.5411 -5.8875
      2  -6.4125  0.7786    -7.3697 -5.7960
      3  -5.9980  0.6328    -6.6497 -5.5943
      4  -5.8395  0.5625    -6.3155 -5.5319
      5  -6.0094  0.4901    -6.4447 -5.8451
      6  -5.7558  0.8641    -6.4149 -4.8578
      7  -5.7877  0.6738    -6.3084 -5.3195
      8  -5.8075  0.5348    -6.2975 -5.4903
      9  -5.8638  0.3766    -6.2972 -5.7628
     10  -5.8852  0.2858    -6.2968 -5.8024
     11  -5.8146  0.2473    -6.2369 -5.7970
     12  -5.8228  0.1899    -6.2362 -5.8011
     13  -5.8266  0.1529    -6.2356 -5.8032
     14  -5.8285  0.1301    -6.2350 -5.8044
     15  -5.8297  0.1167    -6.2347 -5.8052
     16  -5.8302  0.1091    -6.2343 -5.8057
     17  -5.8306  0.1049    -6.2340 -5.8060
     18  -5.8311  0.1021    -6.2339 -5.8066
     19  -5.8313  0.1006    -6.2337 -5.8069

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1020  0.0588     0.0065  0.1899
      1   0.1022  0.0585     0.0073  0.1899
      2   0.1007  0.0593     0.0052  0.1897
      3   0.1010  0.0591     0.0052  0.1897
      4   0.1038  0.0587     0.0065  0.1903
      5   0.1069  0.0576     0.0091  0.1907
      6   0.0556  0.0436     0.0001  0.1388
      7   0.0596  0.0429     0.0013  0.1416
      8   0.0625  0.0424     0.0043  0.1433
      9   0.0674  0.0416     0.0097  0.1466
     10   0.0706  0.0410     0.0141  0.1486
     11   0.0749  0.0424     0.0151  0.1552
     12   0.0767  0.0419     0.0177  0.1561
     13   0.0778  0.0416     0.0197  0.1566
     14   0.0786  0.0413     0.0211  0.1570
     15   0.0792  0.0411     0.0219  0.1573
     16   0.0796  0.0410     0.0225  0.1575
     17   0.0800  0.0408     0.0231  0.1577
     18   0.0807  0.0407     0.0239  0.1580
     19   0.0811  0.0406     0.0244  0.1582

