Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.5996  1.7061    -5.1733 -0.2740
      1  -3.9032  1.1377    -5.7402 -2.6972
      2  -4.6248  1.0145    -6.9452 -3.9054
      3  -5.0127  1.0550    -7.7786 -4.3933
      4  -5.7720  1.3599    -8.8255 -4.7855
      5  -5.0697  0.6522    -5.8881 -4.7511
      6  -5.3792  0.9566    -7.2855 -4.8034
      7  -5.1988  0.6613    -5.8788 -4.8441
      8  -5.2867  0.5913    -5.9380 -5.0474
      9  -5.2366  0.4371    -5.6484 -5.0532
     10  -5.2301  0.3262    -5.5287 -5.0635
     11  -5.2432  0.2455    -5.5279 -5.0991
     12  -5.2477  0.1906    -5.5272 -5.1142
     13  -5.2518  0.1534    -5.5268 -5.1329
     14  -5.2536  0.1300    -5.5265 -5.1429
     15  -5.2499  0.1095    -5.5236 -5.1421
     16  -5.2516  0.0996    -5.5234 -5.1525
     17  -5.2533  0.0926    -5.5234 -5.1656
     18  -5.2539  0.0892    -5.5233 -5.1704
     19  -5.2558  0.0849    -5.5232 -5.1884

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0989  0.0600     0.0036  0.1895
      1   0.0974  0.0604     0.0030  0.1893
      2   0.0941  0.0611     0.0024  0.1887
      3   0.0904  0.0617     0.0024  0.1881
      4   0.0600  0.0578     0.0006  0.1773
      5   0.0860  0.0596     0.0023  0.1861
      6   0.0454  0.0402     0.0001  0.1244
      7   0.0555  0.0415     0.0007  0.1348
      8   0.0603  0.0427     0.0020  0.1412
      9   0.0682  0.0427     0.0065  0.1479
     10   0.0716  0.0419     0.0109  0.1497
     11   0.0743  0.0411     0.0150  0.1512
     12   0.0755  0.0407     0.0171  0.1518
     13   0.0769  0.0403     0.0194  0.1526
     14   0.0777  0.0400     0.0210  0.1530
     15   0.0789  0.0396     0.0227  0.1537
     16   0.0796  0.0394     0.0237  0.1541
     17   0.0804  0.0392     0.0248  0.1546
     18   0.0807  0.0391     0.0255  0.1547
     19   0.0815  0.0389     0.0267  0.1552

