Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.1458  1.4342    -4.2590 -0.2304
      1  -3.1466  0.9223    -4.3984 -2.1553
      2  -3.6781  0.7102    -4.4695 -3.1713
      3  -3.3477  0.6562    -3.9189 -2.9865
      4  -3.1938  0.6392    -3.6474 -2.8831
      5  -3.2176  0.4835    -3.6282 -3.1658
      6  -3.2459  1.0919    -5.4326 -2.4496
      7  -3.1871  1.3558    -6.7494 -1.8916
      8  -3.1151  1.0628    -5.0558 -2.4290
      9  -3.0643  0.8179    -3.6803 -2.6695
     10  -3.2113  0.9444    -4.3702 -2.7294
     11  -3.1351  0.7159    -3.6478 -2.7942
     12  -3.1797  0.6396    -3.6480 -2.9211
     13  -3.1925  0.5282    -3.6268 -2.9658
     14  -3.1599  0.4028    -3.4901 -2.9687
     15  -3.1105  0.5800    -3.4918 -2.9107
     16  -3.0472  0.6177    -3.4225 -2.8524
     17  -2.9930  0.5434    -3.4011 -2.8238
     18  -3.0042  0.4654    -3.4026 -2.9074
     19  -2.9685  0.3768    -3.3795 -2.9072

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1002  0.0596     0.0032  0.1897
      1   0.1001  0.0596     0.0032  0.1896
      2   0.1005  0.0595     0.0034  0.1897
      3   0.1004  0.0598     0.0028  0.1898
      4   0.1000  0.0598     0.0029  0.1897
      5   0.1112  0.0565     0.0111  0.1913
      6   0.0461  0.0394     0.0000  0.1208
      7   0.0294  0.0282     0.0000  0.0813
      8   0.0342  0.0283     0.0000  0.0856
      9   0.0379  0.0280     0.0001  0.0885
     10   0.0310  0.0227     0.0001  0.0704
     11   0.0336  0.0223     0.0002  0.0723
     12   0.0365  0.0233     0.0013  0.0766
     13   0.0400  0.0239     0.0037  0.0810
     14   0.0429  0.0236     0.0075  0.0830
     15   0.0318  0.0179     0.0024  0.0611
     16   0.0306  0.0178     0.0017  0.0602
     17   0.0328  0.0187     0.0031  0.0641
     18   0.0349  0.0190     0.0055  0.0670
     19   0.0375  0.0194     0.0077  0.0701

