Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.1969  2.4073    -9.0601 -1.5830
      1  -3.1333  1.2985    -5.1318 -1.3442
      2  -4.0945  0.7996    -5.2248 -3.2055
      3  -3.5741  0.5841    -4.2811 -3.1117
      4  -3.8592  0.4960    -4.4276 -3.5741
      5  -4.0064  0.4777    -4.5499 -3.7808
      6  -4.2954  0.7920    -5.5319 -3.9236
      7  -4.1605  0.5600    -4.7232 -3.9442
      8  -4.1611  0.4376    -4.6845 -3.9675
      9  -4.1606  0.3527    -4.6584 -3.9764
     10  -4.1585  0.2968    -4.6412 -3.9801
     11  -4.1570  0.2615    -4.6287 -3.9824
     12  -4.1563  0.2390    -4.6180 -3.9846
     13  -4.1554  0.2253    -4.6099 -3.9857
     14  -4.1412  0.1793    -4.5353 -3.9849
     15  -4.1318  0.1598    -4.4763 -3.9841
     16  -4.1288  0.1531    -4.4738 -3.9838
     17  -4.1253  0.1480    -4.4708 -3.9835
     18  -4.1239  0.1459    -4.4695 -3.9833
     19  -4.1222  0.1439    -4.4680 -3.9831

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1013  0.0589     0.0064  0.1898
      1   0.1012  0.0589     0.0063  0.1898
      2   0.1015  0.0589     0.0062  0.1898
      3   0.1013  0.0587     0.0068  0.1897
      4   0.1017  0.0585     0.0072  0.1898
      5   0.1002  0.0583     0.0070  0.1893
      6   0.0501  0.0417     0.0001  0.1324
      7   0.0594  0.0425     0.0025  0.1412
      8   0.0625  0.0420     0.0059  0.1432
      9   0.0647  0.0415     0.0086  0.1445
     10   0.0658  0.0412     0.0102  0.1452
     11   0.0667  0.0410     0.0115  0.1457
     12   0.0676  0.0408     0.0129  0.1463
     13   0.0682  0.0406     0.0139  0.1467
     14   0.0696  0.0403     0.0158  0.1476
     15   0.0711  0.0400     0.0176  0.1485
     16   0.0717  0.0398     0.0186  0.1489
     17   0.0725  0.0396     0.0198  0.1494
     18   0.0729  0.0395     0.0206  0.1496
     19   0.0734  0.0394     0.0212  0.1499

