trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  173 100.00  0.00 800.00 21.50  1
  1  753 420.00  0.00 800.00 156.00  1
  2  971 540.00  0.00 800.00 520.00  1
  3 1223 680.00  0.00 800.00 520.00  1
  4 1313 730.00  0.00 800.00 520.00  0
  5 1277 710.00  0.00 800.00 520.00  0
  6 1223 680.00  0.00 800.00 520.00  0
  7 1151 640.00  0.00 800.00 520.00  0
  8 1043 580.00  0.00 800.00 520.00  0
  9   12  10.00  0.00 800.00 26.00  1
 10  845 470.00  0.00 800.00 520.00  0
 11    8  10.00  0.00 800.00 10.80  1
 12  647 360.00  0.00 800.00 520.00  0
 13    6  10.00  0.00 800.00  6.44  1
 14    5  10.00  0.00 800.00  4.30  1
 15  539 300.00  0.00 800.00 520.00  0
 16    2  10.00  0.00 800.00  1.00  1
 17  664 370.00  0.00 800.00 260.00  0
 18  627 350.00  0.00 800.00 156.00  1
 19    3  10.00  0.00 800.00  2.00  1
