  0 1029 580.00  0.00 800.00  2.00  1
  1  664 370.00  0.00 800.00 260.00  0
  2  822 460.00  0.00 800.00 26.00  0
  3  693 390.00  0.00 800.00 12.90  1
  4  695 390.00  0.00 800.00 21.50  1
  5  732 410.00  0.00 800.00 26.00  1
  6  589 330.00  0.00 800.00 52.00  0
  7  714 400.00  0.00 800.00 26.00  1
  8  589 330.00  0.00 800.00 104.00  0
  9  589 340.00  0.00 800.00 26.00  1
 10  589 350.00  0.00 800.00 26.00  1
 11  822 460.00  0.00 800.00 26.00  1
 12  589 350.00  0.00 800.00 104.00  0
 13  822 440.00  0.00 800.00 52.00  0
 14  822 480.00  0.00 800.00 52.00  0
 15  822 480.00  0.00 800.00 52.00  0
 16  822 470.00  0.00 800.00 52.00  0
 17  822 470.00  0.00 800.00 21.50  1
 18  822 460.00  0.00 800.00 52.00  0
 19  822 450.00  0.00 800.00 21.50  1
