trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1184 660.00  0.00 800.00 104.00  0
  1  642 360.00  0.00 800.00 26.00  1
  2  698 390.00  0.00 800.00 104.00  0
  3  661 370.00  0.00 800.00 52.00  0
  4  732 410.00  0.00 800.00 26.00  1
  5  822 460.00  0.00 800.00 26.00  1
  6  679 380.00  0.00 800.00 52.00  0
  7  804 450.00  0.00 800.00 26.00  1
  8  679 400.00  0.00 800.00 104.00  0
  9  571 320.00  0.00 800.00 52.00  0
 10  804 450.00  0.00 800.00 26.00  1
 11  804 440.00  0.00 800.00 21.50  1
 12  804 460.00  0.00 800.00 52.00  0
 13  804 450.00  0.00 800.00 21.50  1
 14  804 430.00  0.00 800.00 21.50  1
 15  804 460.00  0.00 800.00 52.00  0
 16  804 440.00  0.00 800.00 21.50  1
 17  804 460.00  0.00 800.00 52.00  0
 18  804 470.00  0.00 800.00 52.00  0
 19  804 430.00  0.00 800.00 52.00  0
