Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6714  2.7053    -9.0073 -0.5478
      1  -2.3505  1.4474    -4.5884 -0.2847
      2  -3.4637  0.8567    -4.6932 -2.4482
      3  -3.9921  0.6330    -4.7403 -3.4484
      4  -3.7072  0.4662    -4.2874 -3.3970
      5  -3.5477  0.3859    -3.9526 -3.2873
      6  -3.6960  0.3448    -4.0945 -3.5301
      7  -3.7146  0.2626    -4.0914 -3.6953
      8  -3.6914  0.1889    -3.9464 -3.6951
      9  -3.6890  0.1417    -3.9456 -3.6954
     10  -3.6943  0.1039    -3.9455 -3.7009
     11  -3.6946  0.0808    -3.9453 -3.7016
     12  -3.6947  0.0657    -3.9452 -3.7021
     13  -3.6942  0.0552    -3.9449 -3.7021
     14  -3.6938  0.0487    -3.9447 -3.7021
     15  -3.6936  0.0449    -3.9445 -3.7021
     16  -3.6937  0.0424    -3.9444 -3.7023
     17  -3.6935  0.0406    -3.9442 -3.7023
     18  -3.6936  0.0398    -3.9442 -3.7024
     19  -3.6936  0.0393    -3.9442 -3.7025

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1027  0.0585     0.0074  0.1900
      1   0.1038  0.0582     0.0080  0.1901
      2   0.1021  0.0587     0.0070  0.1899
      3   0.1023  0.0587     0.0070  0.1900
      4   0.1038  0.0577     0.0098  0.1900
      5   0.1065  0.0571     0.0118  0.1905
      6   0.1086  0.0565     0.0134  0.1908
      7   0.1161  0.0541     0.0204  0.1919
      8   0.1236  0.0510     0.0296  0.1928
      9   0.1242  0.0505     0.0314  0.1928
     10   0.1283  0.0483     0.0387  0.1932
     11   0.1290  0.0476     0.0411  0.1933
     12   0.1296  0.0472     0.0427  0.1933
     13   0.1298  0.0470     0.0432  0.1933
     14   0.1299  0.0468     0.0438  0.1933
     15   0.1301  0.0467     0.0442  0.1933
     16   0.1304  0.0464     0.0451  0.1933
     17   0.1305  0.0463     0.0455  0.1933
     18   0.1306  0.0462     0.0458  0.1934
     19   0.1307  0.0461     0.0461  0.1934

