Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0604  1.6610    -5.4244 -0.2062
      1  -3.0496  1.4519    -6.8055 -1.8843
      2  -2.3244  0.8298    -3.0404 -1.7840
      3  -2.0484  0.7784    -2.5832 -1.6224
      4  -2.2077  0.7368    -2.6361 -1.9192
      5  -2.1770  0.5526    -2.6012 -1.9685
      6  -2.5061  0.9932    -3.8200 -2.1157
      7  -2.5686  0.9210    -3.6734 -2.1784
      8  -2.4448  0.6818    -2.8709 -2.1764
      9  -2.4451  0.5532    -2.8461 -2.3187
     10  -2.7181  1.0294    -4.3885 -2.3505
     11  -2.5892  0.7746    -3.1558 -2.3767
     12  -2.5053  0.6847    -2.8986 -2.3341
     13  -2.4462  0.5536    -2.8414 -2.3266
     14  -2.4096  0.4258    -2.7566 -2.3333
     15  -2.3918  0.3122    -2.7050 -2.3491
     16  -2.3739  0.2803    -2.6318 -2.2917
     17  -2.3781  0.2129    -2.6316 -2.3789
     18  -2.3834  0.1784    -2.6326 -2.3849
     19  -2.3777  0.1342    -2.6290 -2.3850

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0958  0.0610     0.0015  0.1891
      1   0.0924  0.0617     0.0013  0.1886
      2   0.1003  0.0597     0.0027  0.1897
      3   0.0993  0.0598     0.0028  0.1895
      4   0.1008  0.0588     0.0036  0.1895
      5   0.1053  0.0566     0.0115  0.1900
      6   0.0524  0.0406     0.0001  0.1305
      7   0.0557  0.0425     0.0001  0.1381
      8   0.0641  0.0427     0.0036  0.1454
      9   0.0708  0.0435     0.0079  0.1522
     10   0.0325  0.0232     0.0001  0.0726
     11   0.0363  0.0229     0.0005  0.0753
     12   0.0402  0.0240     0.0024  0.0813
     13   0.0441  0.0244     0.0067  0.0857
     14   0.0472  0.0244     0.0096  0.0884
     15   0.0485  0.0239     0.0122  0.0891
     16   0.0506  0.0248     0.0132  0.0930
     17   0.0532  0.0246     0.0158  0.0951
     18   0.0563  0.0251     0.0178  0.0992
     19   0.0585  0.0250     0.0204  0.1012

