trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1265 710.00  0.00 800.00  4.30  0
  1  654 370.00  0.00 800.00  6.44  1
  2  605 340.00  0.00 800.00 21.50  0
  3  745 420.00  0.00 800.00  8.60  0
  4  744 420.00  0.00 800.00  6.44  1
  5  744 430.00  0.00 800.00  4.30  1
  6  674 380.00  0.00 800.00 10.80  1
  7  656 370.00  0.00 800.00 10.80  1
  8  729 410.00  0.00 800.00 12.90  0
  9  727 410.00  0.00 800.00  8.60  1
 10  782 440.00  0.00 800.00 10.80  1
 11  766 430.00  0.00 800.00 17.20  0
 12  711 400.00  0.00 800.00 12.90  0
 13  729 410.00  0.00 800.00 12.90  0
 14  747 420.00  0.00 800.00 12.90  0
 15  729 420.00  0.00 800.00 17.20  0
 16  729 410.00  0.00 800.00 10.80  0
 17  691 390.00  0.00 800.00  8.60  1
 18  691 380.00  0.00 800.00 10.80  1
 19  729 410.00  0.00 800.00 12.90  0
