Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.7411  2.9801    -8.8761 -0.1209
      1  -3.1797  2.9823    -8.7381 -0.0852
      2  -2.5061  2.8509    -8.4750 -0.0640
      3  -1.8560  2.5611    -7.9661 -0.0522
      4  -1.2988  2.1432    -6.9682 -0.0455
      5  -2.6184  2.4958    -8.1815 -0.1804
      6  -2.1763  2.2154    -7.4406 -0.1588
      7  -1.8481  1.9209    -6.2839 -0.1459
      8  -3.1765  2.0810    -7.5523 -0.4921
      9  -4.1260  1.9373    -7.9688 -1.0608
     10  -4.0735  1.7692    -7.4425 -1.2863
     11  -4.0398  1.6454    -7.0286 -1.4611
     12  -4.7643  1.4811    -7.4588 -2.5056
     13  -5.4344  1.4961    -8.0846 -3.0463
     14  -5.4943  1.3585    -7.9647 -3.5599
     15  -4.9887  1.1604    -6.8593 -3.3141
     16  -4.5781  1.0939    -6.2339 -2.9781
     17  -4.5822  0.9863    -6.1107 -3.1562
     18  -4.2269  0.9678    -5.6726 -2.7945
     19  -4.4868  0.8387    -5.7733 -3.3990

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0047  0.0130     0.0000  0.0251
      1   0.0075  0.0159     0.0000  0.0359
      2   0.0109  0.0183     0.0000  0.0451
      3   0.0143  0.0198     0.0000  0.0516
      4   0.0171  0.0207     0.0000  0.0559
      5   0.0052  0.0049     0.0000  0.0113
      6   0.0064  0.0047     0.0000  0.0121
      7   0.0072  0.0044     0.0000  0.0125
      8   0.0055  0.0033     0.0000  0.0068
      9   0.0050  0.0034     0.0000  0.0067
     10   0.0059  0.0029     0.0000  0.0067
     11   0.0064  0.0024     0.0000  0.0068
     12   0.0064  0.0024     0.0000  0.0068
     13   0.0063  0.0026     0.0000  0.0068
     14   0.0067  0.0021     0.0001  0.0068
     15   0.0067  0.0020     0.0001  0.0068
     16   0.0066  0.0020     0.0001  0.0067
     17   0.0068  0.0016     0.0002  0.0067
     18   0.0068  0.0016     0.0002  0.0067
     19   0.0068  0.0016     0.0002  0.0067

