Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2728  1.9176    -6.6422 -0.0900
      1  -0.7189  1.5692    -4.6854 -0.0530
      2  -0.4844  1.3890    -3.0567 -0.0380
      3  -0.3661  1.3855    -2.8305 -0.0257
      4  -0.2084  1.0651    -0.4673 -0.0242
      5  -1.8645  2.8217    -8.2825 -0.0337
      6  -1.1804  2.3982    -7.5625 -0.0291
      7  -0.6945  1.9030    -6.1384 -0.0268
      8  -0.3932  1.4385    -3.3434 -0.0256
      9  -1.5975  2.6101    -8.0065 -0.0389
     10  -1.0191  2.1540    -7.0345 -0.0344
     11  -0.6287  1.6760    -5.1239 -0.0320
     12  -0.3962  1.2567    -1.7617 -0.0308
     13  -0.2685  0.9273    -0.8743 -0.0302
     14  -0.7222  1.6286    -4.9491 -0.0419
     15  -0.5046  1.2314    -1.8433 -0.0402
     16  -0.3842  0.9221    -1.2012 -0.0394
     17  -0.3202  0.6973    -1.0543 -0.0389
     18  -0.2613  0.5655    -0.9413 -0.0367
     19  -0.4232  0.8257    -1.2466 -0.0469

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0873  0.0640     0.0000  0.1879
      1   0.0953  0.0625     0.0001  0.1893
      2   0.1006  0.0606     0.0001  0.1899
      3   0.1014  0.0600     0.0001  0.1899
      4   0.1116  0.0566     0.0071  0.1913
      5   0.0227  0.0273     0.0000  0.0734
      6   0.0285  0.0278     0.0000  0.0784
      7   0.0327  0.0274     0.0000  0.0813
      8   0.0353  0.0269     0.0001  0.0828
      9   0.0097  0.0100     0.0000  0.0259
     10   0.0117  0.0099     0.0000  0.0270
     11   0.0130  0.0096     0.0000  0.0276
     12   0.0138  0.0093     0.0001  0.0282
     13   0.0143  0.0091     0.0004  0.0286
     14   0.0079  0.0045     0.0000  0.0132
     15   0.0083  0.0042     0.0001  0.0133
     16   0.0086  0.0040     0.0003  0.0134
     17   0.0088  0.0039     0.0004  0.0134
     18   0.0091  0.0041     0.0005  0.0138
     19   0.0076  0.0026     0.0003  0.0108

