Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5618  2.2016    -9.0969 -2.2899
      1  -3.6438  1.1756    -5.4366 -2.0714
      2  -2.7278  0.8074    -3.6832 -1.8777
      3  -3.2175  0.6241    -3.8971 -2.8142
      4  -3.3716  0.5444    -3.9549 -3.1504
      5  -3.5296  0.5518    -4.2517 -3.3140
      6  -3.9344  0.9323    -5.7716 -3.4317
      7  -3.6966  0.6486    -4.4717 -3.4288
      8  -3.7861  0.6105    -4.6059 -3.4950
      9  -3.7801  0.5014    -4.4759 -3.5409
     10  -3.7365  0.3510    -4.2463 -3.5450
     11  -3.6891  0.2580    -4.0641 -3.5332
     12  -3.7067  0.2077    -4.0669 -3.6915
     13  -3.7185  0.7647    -4.5540 -3.3829
     14  -3.6585  0.5949    -4.2121 -3.4291
     15  -3.6187  0.4648    -4.1212 -3.4320
     16  -3.5507  0.4759    -3.9880 -3.3434
     17  -3.5017  0.4207    -3.9326 -3.3097
     18  -3.4568  0.3956    -3.8959 -3.2621
     19  -3.4621  0.3075    -3.8912 -3.3471

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0591     0.0058  0.1897
      1   0.1005  0.0592     0.0055  0.1897
      2   0.0997  0.0594     0.0052  0.1895
      3   0.1004  0.0592     0.0050  0.1896
      4   0.1030  0.0586     0.0067  0.1901
      5   0.1005  0.0595     0.0055  0.1898
      6   0.0431  0.0388     0.0001  0.1205
      7   0.0539  0.0405     0.0014  0.1318
      8   0.0567  0.0426     0.0019  0.1395
      9   0.0603  0.0425     0.0040  0.1423
     10   0.0628  0.0419     0.0076  0.1438
     11   0.0700  0.0420     0.0117  0.1497
     12   0.0756  0.0426     0.0144  0.1551
     13   0.0230  0.0150     0.0001  0.0474
     14   0.0252  0.0148     0.0010  0.0490
     15   0.0271  0.0146     0.0028  0.0509
     16   0.0270  0.0148     0.0026  0.0511
     17   0.0288  0.0154     0.0036  0.0539
     18   0.0301  0.0162     0.0039  0.0569
     19   0.0318  0.0160     0.0067  0.0583

