Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.2638  1.8202    -9.1683 -3.6476
      1  -4.7405  1.0195    -6.2551 -3.4922
      2  -4.0695  0.7345    -4.9828 -3.4293
      3  -3.6542  0.6615    -4.2713 -3.1308
      4  -3.8409  0.4824    -4.3554 -3.6227
      5  -3.9793  0.4519    -4.4565 -3.7783
      6  -3.9759  0.3492    -4.4357 -3.7997
      7  -3.9564  0.2545    -4.3643 -3.8032
      8  -3.9308  0.1916    -4.2086 -3.7954
      9  -3.9315  0.1532    -4.2083 -3.8033
     10  -3.9294  0.1272    -4.2070 -3.8044
     11  -3.9299  0.1125    -4.2069 -3.8079
     12  -3.9304  0.1036    -4.2068 -3.8116
     13  -3.9307  0.0988    -4.2067 -3.8133
     14  -3.9291  0.0933    -4.2054 -3.8131
     15  -3.9294  0.0915    -4.2054 -3.8147
     16  -3.9297  0.0902    -4.2054 -3.8164
     17  -3.9301  0.0889    -4.2054 -3.8188
     18  -3.9294  0.0873    -4.2047 -3.8186
     19  -3.9296  0.0868    -4.2047 -3.8196

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0594     0.0048  0.1897
      1   0.1002  0.0596     0.0043  0.1897
      2   0.1009  0.0595     0.0047  0.1899
      3   0.1003  0.0602     0.0039  0.1899
      4   0.1057  0.0580     0.0083  0.1905
      5   0.1041  0.0582     0.0083  0.1902
      6   0.1062  0.0570     0.0124  0.1904
      7   0.1093  0.0553     0.0177  0.1908
      8   0.1172  0.0528     0.0246  0.1919
      9   0.1180  0.0522     0.0267  0.1919
     10   0.1188  0.0516     0.0287  0.1920
     11   0.1192  0.0514     0.0296  0.1920
     12   0.1195  0.0511     0.0305  0.1920
     13   0.1197  0.0510     0.0310  0.1921
     14   0.1207  0.0504     0.0329  0.1921
     15   0.1208  0.0503     0.0333  0.1922
     16   0.1210  0.0501     0.0338  0.1922
     17   0.1213  0.0499     0.0345  0.1922
     18   0.1218  0.0496     0.0356  0.1922
     19   0.1219  0.0495     0.0358  0.1922

