Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3351  2.3972    -7.6447 -0.0443
      1  -1.5348  2.4227    -7.7868 -0.1655
      2  -3.7085  2.8651    -8.8422 -0.3412
      3  -3.3510  2.8381    -8.7459 -0.3184
      4  -5.0422  2.6122    -9.0588 -0.7207
      5  -5.1921  2.5518    -9.0756 -0.8560
      6  -5.3264  2.4888    -9.0896 -1.0111
      7  -4.0849  2.1794    -8.3129 -0.7383
      8  -4.6923  1.8952    -8.3864 -1.5074
      9  -4.6951  1.7612    -8.1791 -1.8685
     10  -5.4545  1.6871    -8.6367 -2.7755
     11  -5.0557  1.3690    -7.4610 -2.9666
     12  -5.0766  1.2500    -7.2538 -3.2779
     13  -4.6089  1.1263    -6.3684 -2.9434
     14  -4.1976  1.1111    -5.8160 -2.4818
     15  -4.4726  0.9416    -5.9140 -3.2479
     16  -4.2060  0.9212    -5.5105 -2.9970
     17  -4.3782  0.8059    -5.5699 -3.4357
     18  -4.3726  0.7147    -5.5067 -3.4754
     19  -4.2026  0.6756    -5.2438 -3.3399

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0764  0.0678     0.0000  0.1869
      1   0.0717  0.0680     0.0000  0.1864
      2   0.0055  0.0096     0.0000  0.0210
      3   0.0076  0.0106     0.0000  0.0257
      4   0.0032  0.0037     0.0000  0.0065
      5   0.0043  0.0038     0.0000  0.0068
      6   0.0054  0.0035     0.0000  0.0069
      7   0.0053  0.0036     0.0000  0.0069
      8   0.0057  0.0035     0.0000  0.0069
      9   0.0064  0.0030     0.0000  0.0071
     10   0.0062  0.0029     0.0000  0.0069
     11   0.0066  0.0028     0.0000  0.0072
     12   0.0070  0.0024     0.0001  0.0076
     13   0.0070  0.0024     0.0001  0.0079
     14   0.0069  0.0024     0.0001  0.0070
     15   0.0071  0.0024     0.0001  0.0083
     16   0.0070  0.0024     0.0001  0.0081
     17   0.0072  0.0024     0.0002  0.0093
     18   0.0074  0.0022     0.0003  0.0094
     19   0.0075  0.0023     0.0003  0.0099

