Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.1090  1.4822    -7.4845 -5.3126
      1  -5.9531  1.0678    -7.1168 -4.6819
      2  -5.5030  0.9894    -6.3754 -3.8635
      3  -5.1135  1.1012    -5.9446 -2.4996
      4  -4.7517  1.3039    -5.7187 -1.4875
      5  -3.5637  1.7566    -5.5193 -0.4830
      6  -2.2889  1.6091    -4.9694 -0.2392
      7  -1.4908  1.4222    -4.0151 -0.1391
      8  -1.0449  1.2798    -3.0190 -0.0929
      9  -0.7639  1.1600    -2.2009 -0.0679
     10  -1.1152  1.3232    -3.2252 -0.1381
     11  -0.9877  1.0460    -2.3305 -0.1348
     12  -1.2583  1.0906    -2.7059 -0.2829
     13  -1.0904  0.9253    -2.1917 -0.2398
     14  -1.1798  0.8182    -2.2180 -0.3822
     15  -1.2596  0.7240    -2.2592 -0.5659
     16  -1.1536  0.6185    -2.0067 -0.5324
     17  -1.2032  0.5387    -2.0273 -0.6474
     18  -1.1275  0.4673    -1.8337 -0.6129
     19  -1.1712  0.4118    -1.8450 -0.7539

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0988  0.0603     0.0023  0.1896
      1   0.0962  0.0613     0.0010  0.1893
      2   0.0960  0.0614     0.0015  0.1893
      3   0.0915  0.0630     0.0010  0.1889
      4   0.0816  0.0643     0.0007  0.1875
      5   0.0216  0.0245     0.0001  0.0694
      6   0.0100  0.0063     0.0001  0.0191
      7   0.0095  0.0056     0.0001  0.0175
      8   0.0098  0.0057     0.0001  0.0180
      9   0.0103  0.0059     0.0001  0.0188
     10   0.0090  0.0052     0.0001  0.0159
     11   0.0094  0.0050     0.0002  0.0161
     12   0.0091  0.0050     0.0001  0.0157
     13   0.0097  0.0052     0.0003  0.0172
     14   0.0104  0.0056     0.0004  0.0186
     15   0.0111  0.0059     0.0005  0.0196
     16   0.0118  0.0062     0.0006  0.0204
     17   0.0126  0.0065     0.0008  0.0214
     18   0.0134  0.0068     0.0009  0.0232
     19   0.0142  0.0070     0.0011  0.0245

