Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.4565  2.2533    -9.0856 -2.0911
      1  -3.6672  1.2713    -5.6658 -1.9119
      2  -4.6229  0.7852    -5.7570 -3.7359
      3  -5.1472  0.5966    -5.8830 -4.7014
      4  -5.4419  0.5638    -6.0806 -5.1598
      5  -5.6188  0.6019    -6.5065 -5.3818
      6  -5.5184  0.3641    -5.8362 -5.3780
      7  -5.5427  0.2893    -5.8251 -5.5359
      8  -5.5344  0.1952    -5.7913 -5.5364
      9  -5.5246  0.1403    -5.7828 -5.5364
     10  -5.4192  0.4169    -5.7852 -5.2714
     11  -5.4218  0.3234    -5.7800 -5.2768
     12  -5.4248  0.2586    -5.7779 -5.2802
     13  -5.4263  0.2165    -5.7761 -5.2828
     14  -5.1614  0.5332    -5.7391 -4.6597
     15  -4.9082  0.7901    -5.6840 -3.9964
     16  -4.9926  0.6319    -5.6624 -4.3900
     17  -4.7067  1.0188    -5.7712 -3.3864
     18  -4.7228  0.8107    -5.5835 -3.8142
     19  -4.7316  0.6644    -5.5177 -3.9661

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1013  0.0589     0.0062  0.1898
      1   0.1013  0.0589     0.0063  0.1897
      2   0.1017  0.0588     0.0065  0.1898
      3   0.1011  0.0589     0.0061  0.1897
      4   0.1007  0.0595     0.0052  0.1898
      5   0.0985  0.0604     0.0041  0.1896
      6   0.1119  0.0562     0.0127  0.1914
      7   0.1195  0.0535     0.0200  0.1924
      8   0.1212  0.0521     0.0257  0.1925
      9   0.1275  0.0491     0.0355  0.1932
     10   0.0586  0.0367     0.0065  0.1256
     11   0.0609  0.0362     0.0094  0.1272
     12   0.0621  0.0358     0.0114  0.1279
     13   0.0634  0.0355     0.0136  0.1287
     14   0.0233  0.0139     0.0014  0.0463
     15   0.0140  0.0084     0.0001  0.0265
     16   0.0155  0.0084     0.0004  0.0273
     17   0.0092  0.0055     0.0000  0.0163
     18   0.0098  0.0052     0.0001  0.0166
     19   0.0101  0.0050     0.0003  0.0168

