trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  618 350.00  0.00 800.00  6.44  1
  1  664 370.00  0.00 800.00 260.00  1
  2 1043 580.00  0.00 800.00 520.00  0
  3  791 440.00  0.00 800.00 520.00  0
  4  844 470.00  0.00 800.00 260.00  1
  5  701 390.00  0.00 800.00 520.00  0
  6  593 330.00  0.00 800.00 520.00  0
  7  844 470.00  0.00 800.00 260.00  0
  8  700 390.00  0.00 800.00 260.00  0
  9  734 410.00  0.00 800.00 104.00  1
 10  699 390.00  0.00 800.00 156.00  1
 11  592 330.00  0.00 800.00 260.00  1
 12  736 410.00  0.00 800.00 260.00  0
 13  556 310.00  0.00 800.00 260.00  1
 14  790 440.00  0.00 800.00 260.00  0
 15  826 460.00  0.00 800.00 260.00  0
 16  592 330.00  0.00 800.00 260.00  0
 17  591 330.00  0.00 800.00 156.00  0
 18    4  10.00  0.00 800.00  3.00  1
 19  411 230.00  0.00 800.00 156.00  1
