Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3115  1.5019    -4.5886 -0.2481
      1  -1.1914  1.0606    -2.3615 -0.1311
      2  -1.8320  0.8602    -2.5896 -1.3269
      3  -2.1029  0.7987    -2.8290 -1.7218
      4  -2.2753  0.8044    -3.2111 -1.9696
      5  -2.7969  1.3024    -5.8425 -2.0325
      6  -2.5164  1.0200    -4.0465 -2.0415
      7  -2.5907  0.9440    -3.9249 -2.1568
      8  -3.0703  1.3770    -6.5796 -2.1589
      9  -2.8475  1.0915    -4.8179 -2.2115
     10  -2.7037  0.8667    -3.6090 -2.2336
     11  -2.6090  0.6889    -3.1818 -2.2397
     12  -2.6951  0.6721    -3.3041 -2.3882
     13  -2.9586  1.0228    -4.4795 -2.3982
     14  -2.8782  0.7787    -3.6853 -2.4231
     15  -2.8041  0.6162    -3.4136 -2.4276
     16  -2.7552  0.4888    -3.3170 -2.4292
     17  -2.7711  0.4045    -3.3135 -2.4906
     18  -2.9212  0.5727    -3.5356 -2.5982
     19  -2.8803  0.4547    -3.4099 -2.6038

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1005  0.0596     0.0037  0.1898
      1   0.1007  0.0594     0.0041  0.1898
      2   0.0998  0.0600     0.0026  0.1897
      3   0.0994  0.0601     0.0024  0.1896
      4   0.0983  0.0613     0.0017  0.1898
      5   0.0367  0.0361     0.0000  0.1079
      6   0.0460  0.0377     0.0001  0.1179
      7   0.0470  0.0382     0.0001  0.1204
      8   0.0183  0.0161     0.0000  0.0464
      9   0.0214  0.0163     0.0001  0.0491
     10   0.0243  0.0165     0.0001  0.0523
     11   0.0269  0.0166     0.0011  0.0547
     12   0.0263  0.0161     0.0012  0.0532
     13   0.0164  0.0106     0.0001  0.0325
     14   0.0172  0.0102     0.0001  0.0328
     15   0.0186  0.0101     0.0009  0.0338
     16   0.0198  0.0100     0.0018  0.0345
     17   0.0210  0.0101     0.0026  0.0363
     18   0.0163  0.0080     0.0009  0.0272
     19   0.0171  0.0079     0.0015  0.0276

