Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.3115  1.5019    -4.5886 -0.2481
      1  -3.4413  0.9243    -4.6940 -2.4182
      2  -2.8249  0.7550    -3.5861 -2.2745
      3  -3.1064  0.6706    -3.6966 -2.7507
      4  -2.9439  0.6587    -3.3867 -2.6635
      5  -2.8659  1.1242    -5.0303 -1.9907
      6  -3.0827  1.2412    -6.1779 -2.1891
      7  -3.0792  1.0598    -5.0875 -2.6117
      8  -2.9781  0.8052    -3.4764 -2.6617
      9  -3.1837  1.6475    -7.6198 -1.5294
     10  -2.9776  1.2955    -6.2705 -1.9154
     11  -2.8502  0.9940    -3.9996 -2.1188
     12  -2.8268  0.7753    -3.4914 -2.3870
     13  -2.8153  0.6079    -3.3888 -2.4862
     14  -2.7674  0.4777    -3.2365 -2.4940
     15  -2.8546  0.5004    -3.3512 -2.6411
     16  -2.8963  0.4469    -3.3715 -2.6703
     17  -3.0893  0.8123    -3.9213 -2.6689
     18  -3.0234  0.6287    -3.6511 -2.6813
     19  -2.9772  0.4933    -3.5105 -2.6863

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1005  0.0596     0.0037  0.1898
      1   0.1003  0.0597     0.0033  0.1898
      2   0.0991  0.0599     0.0028  0.1895
      3   0.0995  0.0596     0.0030  0.1895
      4   0.1007  0.0595     0.0030  0.1898
      5   0.0486  0.0420     0.0000  0.1303
      6   0.0425  0.0384     0.0000  0.1155
      7   0.0504  0.0406     0.0000  0.1262
      8   0.0562  0.0399     0.0001  0.1301
      9   0.0175  0.0172     0.0000  0.0473
     10   0.0202  0.0170     0.0000  0.0490
     11   0.0218  0.0166     0.0001  0.0502
     12   0.0242  0.0166     0.0001  0.0524
     13   0.0264  0.0165     0.0012  0.0541
     14   0.0285  0.0165     0.0026  0.0559
     15   0.0269  0.0154     0.0022  0.0523
     16   0.0285  0.0159     0.0029  0.0546
     17   0.0163  0.0100     0.0001  0.0318
     18   0.0175  0.0099     0.0006  0.0327
     19   0.0187  0.0098     0.0013  0.0335

