Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0445  1.7273    -5.7421 -0.0757
      1  -0.7661  1.7976    -5.8323 -0.0420
      2  -0.6566  1.8445    -5.9031 -0.0271
      3  -0.3868  1.4585    -3.4981 -0.0249
      4  -1.1657  2.4003    -7.5565 -0.0281
      5  -0.6720  1.8942    -6.0890 -0.0259
      6  -0.3703  1.4309    -3.2590 -0.0247
      7  -2.5545  2.9963    -8.5903 -0.0495
      8  -1.8071  2.7357    -8.1952 -0.0394
      9  -1.1680  2.3101    -7.4122 -0.0340
     10  -0.7153  1.8258    -5.8615 -0.0313
     11  -0.4375  1.3806    -2.9406 -0.0299
     12  -0.2789  1.0532    -0.8049 -0.0285
     13  -0.1849  0.7742    -0.6245 -0.0279
     14  -0.1294  0.5902    -0.5183 -0.0270
     15  -0.0940  0.4513    -0.4917 -0.0262
     16  -0.0699  0.3481    -0.4653 -0.0255
     17  -0.0521  0.2723    -0.4314 -0.0249
     18  -0.0406  0.2094    -0.3970 -0.0245
     19  -0.0310  0.1635    -0.3366 -0.0241

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0906  0.0642     0.0000  0.1887
      1   0.0930  0.0636     0.0000  0.1889
      2   0.0947  0.0635     0.0000  0.1892
      3   0.1078  0.0596     0.0001  0.1910
      4   0.0586  0.0528     0.0000  0.1572
      5   0.0673  0.0512     0.0000  0.1612
      6   0.0739  0.0492     0.0001  0.1639
      7   0.0093  0.0137     0.0000  0.0342
      8   0.0128  0.0146     0.0000  0.0383
      9   0.0158  0.0147     0.0000  0.0405
     10   0.0180  0.0144     0.0000  0.0418
     11   0.0193  0.0141     0.0001  0.0428
     12   0.0212  0.0140     0.0003  0.0444
     13   0.0221  0.0138     0.0012  0.0451
     14   0.0237  0.0138     0.0020  0.0465
     15   0.0253  0.0138     0.0030  0.0478
     16   0.0269  0.0139     0.0043  0.0495
     17   0.0285  0.0141     0.0062  0.0516
     18   0.0299  0.0142     0.0075  0.0530
     19   0.0313  0.0143     0.0083  0.0545

