trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1082 610.00  0.00 800.00  1.00  1
  1  753 420.00  0.00 800.00 156.00  0
  2  714 400.00  0.00 800.00 26.00  0
  3  745 420.00  0.00 800.00  8.60  1
  4  783 440.00  0.00 800.00 12.90  1
  5  695 390.00  0.00 800.00 21.50  1
  6  732 410.00  0.00 800.00 26.00  1
  7  643 360.00  0.00 800.00 52.00  1
  8  716 400.00  0.00 800.00 104.00  0
  9  787 440.00  0.00 800.00 52.00  0
 10  733 410.00  0.00 800.00 52.00  0
 11  822 460.00  0.00 800.00 26.00  0
 12  678 380.00  0.00 800.00 26.00  1
 13  858 480.00  0.00 800.00 26.00  1
 14  841 470.00  0.00 800.00 52.00  1
 15    1  10.00  0.00 800.00  0.71  1
 16    0  10.00  0.00 800.00  0.43  1
 17 1021 570.00  0.00 800.00 52.00  1
 18    0  10.00  0.00 800.00  0.71  1
 19    0  10.00  0.00 800.00  0.71  1
