Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.5231  1.6839    -9.1951 -4.1284
      1  -5.1258  0.9525    -6.5228 -3.9852
      2  -4.4722  0.6861    -5.2736 -3.8112
      3  -4.1820  0.5860    -4.7547 -3.7015
      4  -3.8884  0.6506    -4.4472 -3.2304
      5  -3.5787  0.9601    -4.4300 -2.1731
      6  -3.7530  0.7213    -4.3715 -3.2077
      7  -3.6667  0.6355    -4.1680 -3.1814
      8  -3.6982  0.4642    -4.1469 -3.4702
      9  -3.7216  0.3593    -4.1431 -3.6575
     10  -3.6925  0.2800    -3.9526 -3.6562
     11  -3.6963  0.2070    -3.9518 -3.6944
     12  -3.6967  0.1561    -3.9512 -3.6965
     13  -3.6972  0.1213    -3.9508 -3.6981
     14  -3.6956  0.0970    -3.9499 -3.6982
     15  -3.6948  0.0820    -3.9494 -3.6983
     16  -3.6940  0.0725    -3.9487 -3.6984
     17  -3.6949  0.0657    -3.9486 -3.6994
     18  -3.6954  0.0617    -3.9486 -3.7000
     19  -3.6951  0.0595    -3.9483 -3.7000

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1018  0.0589     0.0054  0.1899
      1   0.1014  0.0592     0.0044  0.1899
      2   0.1011  0.0594     0.0041  0.1898
      3   0.1021  0.0593     0.0049  0.1901
      4   0.0923  0.0613     0.0019  0.1885
      5   0.0455  0.0430     0.0001  0.1338
      6   0.0578  0.0454     0.0001  0.1467
      7   0.0635  0.0474     0.0011  0.1549
      8   0.0697  0.0465     0.0052  0.1583
      9   0.0773  0.0464     0.0099  0.1636
     10   0.0847  0.0464     0.0145  0.1686
     11   0.0877  0.0453     0.0190  0.1697
     12   0.0889  0.0447     0.0217  0.1701
     13   0.0900  0.0443     0.0236  0.1705
     14   0.0905  0.0440     0.0246  0.1707
     15   0.0908  0.0439     0.0254  0.1707
     16   0.0911  0.0437     0.0262  0.1709
     17   0.0918  0.0434     0.0276  0.1711
     18   0.0923  0.0432     0.0284  0.1713
     19   0.0924  0.0431     0.0287  0.1713

