Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.2015  2.9063    -8.4426 -0.0406
      1  -4.2598  2.8122    -8.9474 -0.3894
      2  -3.0879  2.5816    -8.4964 -0.2688
      3  -2.6265  2.3384    -7.9928 -0.2379
      4  -1.9285  2.2273    -7.6359 -0.1559
      5  -1.5301  1.8369    -6.3311 -0.1423
      6  -1.1258  1.6613    -5.4526 -0.1020
      7  -0.8506  1.3605    -3.2581 -0.0876
      8  -1.1071  1.4172    -4.1510 -0.2121
      9  -0.9451  1.0835    -2.0891 -0.2072
     10  -0.7855  0.9571    -1.5657 -0.1625
     11  -0.8173  0.8087    -1.5304 -0.2920
     12  -0.8828  0.7186    -1.5535 -0.4453
     13  -0.7945  0.6061    -1.3136 -0.4072
     14  -0.9821  0.8386    -1.6540 -0.5102
     15  -0.9059  0.6614    -1.4701 -0.5004
     16  -0.9115  0.5310    -1.4479 -0.5818
     17  -1.0304  0.6172    -1.5759 -0.6753
     18  -0.9814  0.4894    -1.4942 -0.6685
     19  -0.9992  0.4039    -1.4948 -0.8009

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0535  0.0643     0.0000  0.1800
      1   0.0062  0.0083     0.0000  0.0186
      2   0.0075  0.0101     0.0000  0.0240
      3   0.0096  0.0105     0.0000  0.0266
      4   0.0120  0.0124     0.0000  0.0329
      5   0.0138  0.0123     0.0000  0.0342
      6   0.0163  0.0136     0.0000  0.0395
      7   0.0187  0.0141     0.0001  0.0422
      8   0.0173  0.0134     0.0001  0.0400
      9   0.0182  0.0132     0.0001  0.0404
     10   0.0198  0.0139     0.0005  0.0436
     11   0.0221  0.0147     0.0009  0.0470
     12   0.0239  0.0154     0.0013  0.0500
     13   0.0262  0.0162     0.0019  0.0535
     14   0.0193  0.0120     0.0007  0.0389
     15   0.0208  0.0121     0.0013  0.0402
     16   0.0224  0.0122     0.0020  0.0413
     17   0.0200  0.0113     0.0014  0.0379
     18   0.0214  0.0113     0.0020  0.0392
     19   0.0228  0.0115     0.0028  0.0406

