Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4998  2.5265    -7.8806 -0.0434
      1  -1.8546  2.6265    -8.1361 -0.1586
      2  -4.1364  2.8129    -8.9226 -0.4163
      3  -3.1051  2.6006    -8.5249 -0.3194
      4  -2.6287  2.3579    -8.0467 -0.2979
      5  -2.2410  2.0638    -7.1623 -0.2842
      6  -3.3507  2.0159    -7.8737 -0.7719
      7  -3.1240  1.7797    -6.9811 -0.8152
      8  -2.5207  1.5936    -6.0241 -0.6273
      9  -2.9387  1.4548    -6.1038 -1.2306
     10  -2.8233  1.2439    -5.0352 -1.3057
     11  -2.4977  1.1031    -4.1288 -1.1340
     12  -2.7004  0.9676    -4.1628 -1.6269
     13  -2.4955  0.8585    -3.6584 -1.5138
     14  -2.5860  0.7369    -3.6615 -1.8013
     15  -2.4600  0.6464    -3.3860 -1.7263
     16  -2.5405  0.5632    -3.4097 -1.9311
     17  -2.4180  0.5192    -3.1985 -1.8671
     18  -2.3480  0.4634    -3.0839 -1.8317
     19  -2.3988  0.4040    -3.0997 -1.9419

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0722  0.0677     0.0000  0.1861
      1   0.0630  0.0668     0.0000  0.1842
      2   0.0052  0.0071     0.0000  0.0149
      3   0.0065  0.0087     0.0000  0.0202
      4   0.0084  0.0091     0.0000  0.0229
      5   0.0100  0.0091     0.0000  0.0247
      6   0.0063  0.0047     0.0000  0.0121
      7   0.0072  0.0044     0.0000  0.0125
      8   0.0077  0.0046     0.0000  0.0132
      9   0.0077  0.0046     0.0000  0.0131
     10   0.0082  0.0043     0.0001  0.0133
     11   0.0087  0.0046     0.0001  0.0138
     12   0.0092  0.0048     0.0001  0.0152
     13   0.0097  0.0051     0.0003  0.0169
     14   0.0104  0.0053     0.0004  0.0180
     15   0.0110  0.0056     0.0005  0.0189
     16   0.0117  0.0058     0.0006  0.0197
     17   0.0122  0.0060     0.0007  0.0202
     18   0.0129  0.0062     0.0009  0.0207
     19   0.0136  0.0063     0.0010  0.0220

