Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.8655  1.4632    -3.9044 -0.1938
      1  -2.7916  1.1949    -5.1109 -1.8697
      2  -2.2293  0.9108    -2.9559 -1.6888
      3  -1.9872  1.0104    -2.8042 -1.3707
      4  -1.9868  0.7852    -2.4570 -1.7911
      5  -2.3896  1.8892    -7.5475 -0.8589
      6  -2.0815  1.4975    -6.1099 -0.9287
      7  -1.8906  1.1527    -3.5005 -0.9772
      8  -1.9957  1.9315    -7.2544 -0.3525
      9  -1.6849  1.5433    -5.5768 -0.3458
     10  -1.4958  1.2126    -2.9977 -0.3423
     11  -1.3254  1.6005    -5.3760 -0.1513
     12  -1.1222  1.2522    -2.6719 -0.1455
     13  -1.0093  0.9909    -2.1543 -0.1425
     14  -0.8020  1.0681    -1.9673 -0.0864
     15  -0.7224  0.8433    -1.7835 -0.0850
     16  -0.5681  0.8148    -1.5246 -0.0631
     17  -0.7015  0.8460    -1.6792 -0.0907
     18  -0.5905  0.7496    -1.4766 -0.0758
     19  -0.6822  0.7292    -1.5501 -0.1069

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0972  0.0608     0.0011  0.1893
      1   0.0948  0.0614     0.0007  0.1889
      2   0.0976  0.0608     0.0003  0.1894
      3   0.0907  0.0619     0.0001  0.1881
      4   0.1036  0.0592     0.0028  0.1902
      5   0.0261  0.0292     0.0000  0.0817
      6   0.0297  0.0294     0.0000  0.0852
      7   0.0321  0.0292     0.0001  0.0872
      8   0.0096  0.0087     0.0000  0.0234
      9   0.0108  0.0085     0.0000  0.0244
     10   0.0115  0.0084     0.0001  0.0250
     11   0.0076  0.0045     0.0000  0.0130
     12   0.0081  0.0042     0.0001  0.0131
     13   0.0084  0.0039     0.0002  0.0132
     14   0.0077  0.0032     0.0001  0.0117
     15   0.0079  0.0030     0.0003  0.0118
     16   0.0078  0.0028     0.0003  0.0114
     17   0.0077  0.0028     0.0003  0.0114
     18   0.0079  0.0029     0.0003  0.0118
     19   0.0081  0.0031     0.0004  0.0122

