Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5795  2.7424    -8.9962 -0.4562
      1  -4.5641  2.7485    -8.9944 -0.4420
      2  -4.5318  2.7607    -8.9903 -0.4155
      3  -4.4721  2.7818    -8.9826 -0.3735
      4  -4.3802  2.8110    -8.9703 -0.3220
      5  -4.2500  2.8461    -8.9515 -0.2679
      6  -4.0970  2.8785    -8.9273 -0.2288
      7  -3.9525  2.9006    -8.9022 -0.2026
      8  -5.6190  2.4920    -9.1394 -0.8838
      9  -5.8264  2.3891    -9.1586 -1.0847
     10  -6.8127  2.0987    -6.8198 -2.0864
     11  -7.0796  1.8357    -6.3679 -3.3351
     12  -7.5419  1.5278    -5.0840 -4.9981
     13  -7.6627  1.3282    -4.9399 -5.6741
     14  -7.9699  1.1263    -3.9604 -6.4393
     15  -8.0205  1.0046    -3.9137 -6.5711
     16  -8.2209  0.8758    -3.2400 -6.9651
     17  -8.3659  0.7800    -2.7603 -7.2536
     18  -8.4208  0.7148    -2.6086 -7.3778
     19  -8.5198  0.6495    -2.2858 -7.5618

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0003  0.0010     0.0000  0.0001
      1   0.0004  0.0014     0.0000  0.0001
      2   0.0006  0.0019     0.0000  0.0024
      3   0.0010  0.0024     0.0000  0.0045
      4   0.0017  0.0030     0.0000  0.0056
      5   0.0026  0.0034     0.0000  0.0061
      6   0.0037  0.0036     0.0000  0.0064
      7   0.0048  0.0034     0.0000  0.0066
      8   0.0045  0.0034     0.0000  0.0065
      9   0.0054  0.0030     0.0000  0.0066
     10   0.0055  0.0029     0.0000  0.0066
     11   0.0062  0.0024     0.0000  0.0067
     12   0.0065  0.0021     0.0001  0.0067
     13   0.0067  0.0016     0.0001  0.0067
     14   0.0068  0.0015     0.0002  0.0067
     15   0.0070  0.0012     0.0003  0.0067
     16   0.0070  0.0011     0.0004  0.0067
     17   0.0070  0.0011     0.0004  0.0068
     18   0.0071  0.0011     0.0004  0.0068
     19   0.0071  0.0012     0.0004  0.0068

