Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6112  2.7303    -9.0002 -0.4842
      1  -2.4373  1.5267    -4.8452 -0.2634
      2  -3.7203  0.8604    -4.9685 -2.6988
      3  -4.3761  0.6182    -5.1450 -3.8915
      4  -4.0711  0.4965    -4.6139 -3.7370
      5  -4.2442  0.4640    -4.7169 -4.0450
      6  -4.4915  0.8432    -5.7140 -3.9914
      7  -4.3253  0.8760    -5.3859 -3.7075
      8  -4.3380  0.6826    -5.0604 -4.0309
      9  -4.2993  0.5111    -4.7851 -4.0782
     10  -4.3060  0.3938    -4.7392 -4.2162
     11  -4.2897  0.3006    -4.7196 -4.2176
     12  -4.2927  0.2402    -4.7172 -4.2223
     13  -4.2957  0.2007    -4.7158 -4.2263
     14  -4.2970  0.1757    -4.7148 -4.2285
     15  -4.2983  0.1605    -4.7141 -4.2303
     16  -4.2888  0.1417    -4.7034 -4.2298
     17  -4.2844  0.1322    -4.6981 -4.2296
     18  -4.2850  0.1290    -4.6980 -4.2303
     19  -4.2361  0.0876    -4.5965 -4.2264

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1018  0.0586     0.0071  0.1898
      2   0.1014  0.0588     0.0064  0.1898
      3   0.1001  0.0591     0.0055  0.1895
      4   0.1011  0.0588     0.0064  0.1897
      5   0.1029  0.0589     0.0065  0.1902
      6   0.0453  0.0386     0.0001  0.1201
      7   0.0416  0.0353     0.0001  0.1081
      8   0.0464  0.0353     0.0001  0.1123
      9   0.0504  0.0349     0.0028  0.1154
     10   0.0533  0.0346     0.0064  0.1177
     11   0.0557  0.0342     0.0093  0.1195
     12   0.0572  0.0339     0.0114  0.1206
     13   0.0587  0.0337     0.0136  0.1218
     14   0.0598  0.0336     0.0148  0.1226
     15   0.0609  0.0335     0.0158  0.1234
     16   0.0625  0.0332     0.0176  0.1247
     17   0.0634  0.0331     0.0189  0.1254
     18   0.0638  0.0330     0.0196  0.1257
     19   0.0697  0.0350     0.0218  0.1352

