Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.7712  2.6485    -9.0173 -0.7484
      1  -2.7170  1.5259    -5.1065 -0.5011
      2  -3.9744  0.8590    -5.2272 -2.9536
      3  -3.4221  0.6036    -4.1969 -2.8965
      4  -3.8405  0.5097    -4.3979 -3.5307
      5  -3.9951  0.4981    -4.5538 -3.7623
      6  -3.9506  0.3397    -4.3575 -3.7695
      7  -4.3105  1.1971    -6.8024 -2.8471
      8  -4.2810  0.9567    -5.7711 -3.4276
      9  -4.1936  0.7509    -5.0865 -3.5244
     10  -4.1297  0.6125    -4.8001 -3.5631
     11  -3.9669  0.6912    -4.6914 -3.2842
     12  -4.0255  0.5569    -4.6752 -3.5774
     13  -4.0621  0.4528    -4.6675 -3.7355
     14  -4.1657  0.4668    -4.7358 -3.8670
     15  -4.3300  0.6870    -5.1430 -3.9074
     16  -4.2936  0.5429    -4.9564 -3.9564
     17  -4.2655  0.4372    -4.8574 -3.9623
     18  -4.2851  0.3629    -4.8503 -3.9986
     19  -4.2532  0.3079    -4.7338 -3.9938

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0586     0.0071  0.1899
      1   0.1030  0.0583     0.0078  0.1900
      2   0.1013  0.0588     0.0066  0.1897
      3   0.1023  0.0585     0.0077  0.1899
      4   0.1018  0.0593     0.0061  0.1900
      5   0.1011  0.0594     0.0057  0.1899
      6   0.1074  0.0566     0.0126  0.1906
      7   0.0182  0.0161     0.0000  0.0462
      8   0.0197  0.0159     0.0001  0.0473
      9   0.0221  0.0161     0.0001  0.0497
     10   0.0244  0.0165     0.0008  0.0527
     11   0.0205  0.0140     0.0003  0.0440
     12   0.0228  0.0144     0.0010  0.0467
     13   0.0248  0.0146     0.0020  0.0486
     14   0.0231  0.0132     0.0017  0.0448
     15   0.0157  0.0093     0.0001  0.0297
     16   0.0169  0.0092     0.0007  0.0307
     17   0.0179  0.0091     0.0013  0.0316
     18   0.0188  0.0091     0.0019  0.0325
     19   0.0199  0.0092     0.0027  0.0335

