Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.5775  2.1710    -7.0477 -0.3770
      1  -5.2558  1.2818    -7.2991 -3.5553
      2  -4.2100  0.7458    -5.2303 -3.4538
      3  -3.6956  0.6133    -4.3662 -3.2579
      4  -3.9850  0.5978    -4.6080 -3.7051
      5  -3.9533  0.4471    -4.4387 -3.7208
      6  -3.9616  0.3333    -4.4278 -3.7556
      7  -3.9529  0.2632    -4.4046 -3.7603
      8  -3.9577  0.2130    -4.4015 -3.7812
      9  -3.9503  0.1785    -4.3743 -3.7821
     10  -3.9219  0.1422    -4.2087 -3.7706
     11  -3.9205  0.1286    -4.2072 -3.7719
     12  -3.9221  0.1178    -4.2072 -3.7773
     13  -3.9239  0.1105    -4.2072 -3.7837
     14  -3.9254  0.1055    -4.2072 -3.7898
     15  -3.9260  0.1033    -4.2072 -3.7923
     16  -4.0451  0.2234    -4.4717 -3.7961
     17  -4.1302  0.2044    -4.5464 -3.9634
     18  -4.1381  0.1863    -4.5452 -3.9724
     19  -4.1433  0.1748    -4.5434 -3.9784

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0591     0.0057  0.1897
      1   0.1004  0.0592     0.0059  0.1896
      2   0.1015  0.0592     0.0056  0.1899
      3   0.0997  0.0596     0.0043  0.1896
      4   0.0948  0.0600     0.0027  0.1885
      5   0.0993  0.0582     0.0075  0.1890
      6   0.1018  0.0570     0.0118  0.1893
      7   0.1034  0.0561     0.0148  0.1895
      8   0.1050  0.0553     0.0173  0.1897
      9   0.1069  0.0544     0.0200  0.1899
     10   0.1141  0.0531     0.0240  0.1913
     11   0.1151  0.0525     0.0260  0.1914
     12   0.1155  0.0522     0.0270  0.1914
     13   0.1161  0.0519     0.0282  0.1914
     14   0.1166  0.0515     0.0293  0.1915
     15   0.1169  0.0514     0.0298  0.1915
     16   0.0329  0.0168     0.0083  0.0616
     17   0.0337  0.0174     0.0083  0.0637
     18   0.0347  0.0174     0.0090  0.0647
     19   0.0354  0.0174     0.0096  0.0653

