Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6159  2.7283    -9.0007 -0.4894
      1  -2.3026  1.4565    -4.5787 -0.2521
      2  -3.4482  0.8631    -4.6903 -2.4318
      3  -4.1184  0.6228    -4.8308 -3.6862
      4  -4.4146  0.6006    -5.0594 -4.1197
      5  -4.2223  0.4593    -4.6696 -4.0057
      6  -4.2498  0.3586    -4.6616 -4.2196
      7  -4.2182  0.2491    -4.4744 -4.2199
      8  -4.2197  0.1850    -4.4738 -4.2222
      9  -4.2239  0.1402    -4.4734 -4.2271
     10  -4.3149  0.3711    -4.7332 -4.2284
     11  -4.4681  0.4926    -5.0060 -4.2506
     12  -4.5239  0.4617    -5.1001 -4.3231
     13  -4.8499  0.9419    -6.6751 -4.3343
     14  -4.6920  0.6670    -5.6917 -4.3707
     15  -4.6106  0.5150    -5.2794 -4.3800
     16  -4.5590  0.4093    -5.0973 -4.3772
     17  -4.5219  0.3290    -4.9773 -4.3690
     18  -4.5123  0.2567    -4.9575 -4.3773
     19  -4.4909  0.2094    -4.9109 -4.3670

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0585     0.0074  0.1899
      1   0.1023  0.0585     0.0076  0.1899
      2   0.1018  0.0587     0.0069  0.1898
      3   0.1014  0.0591     0.0058  0.1899
      4   0.1012  0.0596     0.0049  0.1900
      5   0.1039  0.0587     0.0071  0.1903
      6   0.1135  0.0559     0.0139  0.1917
      7   0.1218  0.0524     0.0243  0.1926
      8   0.1234  0.0511     0.0294  0.1927
      9   0.1278  0.0488     0.0369  0.1932
     10   0.0685  0.0411     0.0086  0.1446
     11   0.0491  0.0321     0.0033  0.1067
     12   0.0525  0.0343     0.0038  0.1144
     13   0.0190  0.0149     0.0001  0.0453
     14   0.0220  0.0152     0.0004  0.0479
     15   0.0248  0.0155     0.0014  0.0511
     16   0.0275  0.0157     0.0028  0.0539
     17   0.0300  0.0160     0.0048  0.0567
     18   0.0310  0.0158     0.0071  0.0574
     19   0.0331  0.0161     0.0080  0.0598

