Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.0443  1.5873    -5.0693 -0.0882
      1  -0.6969  1.5299    -4.4123 -0.0529
      2  -0.4792  1.3774    -2.9457 -0.0380
      3  -0.3618  1.3761    -2.7409 -0.0257
      4  -0.2059  1.0576    -0.4642 -0.0242
      5  -0.1127  0.7575    -0.2823 -0.0239
      6  -0.0651  0.5378    -0.2701 -0.0237
      7  -0.0378  0.3968    -0.2632 -0.0234
      8  -0.5082  1.6679    -4.9867 -0.0252
      9  -0.2766  1.2341    -1.1690 -0.0244
     10  -0.1525  0.9053    -0.3013 -0.0239
     11  -0.0879  0.6700    -0.2678 -0.0236
     12  -0.0526  0.4947    -0.2644 -0.0234
     13  -0.0794  0.6400    -0.2654 -0.0235
     14  -0.0474  0.4700    -0.2630 -0.0234
     15  -0.0547  0.5165    -0.2631 -0.0234
     16  -0.0327  0.3655    -0.2617 -0.0233
     17  -0.0443  0.4524    -0.2623 -0.0233
     18  -0.0282  0.3285    -0.2612 -0.0233
     19  -0.0198  0.2408    -0.2606 -0.0232

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0923  0.0630     0.0000  0.1887
      1   0.0957  0.0624     0.0001  0.1893
      2   0.1007  0.0606     0.0001  0.1899
      3   0.1016  0.0599     0.0001  0.1899
      4   0.1117  0.0565     0.0074  0.1913
      5   0.1146  0.0543     0.0193  0.1915
      6   0.1163  0.0530     0.0242  0.1916
      7   0.1225  0.0504     0.0321  0.1924
      8   0.0400  0.0289     0.0000  0.0901
      9   0.0423  0.0280     0.0001  0.0915
     10   0.0448  0.0274     0.0052  0.0931
     11   0.0474  0.0270     0.0090  0.0951
     12   0.0498  0.0268     0.0118  0.0971
     13   0.0418  0.0220     0.0089  0.0795
     14   0.0436  0.0218     0.0111  0.0809
     15   0.0413  0.0205     0.0102  0.0757
     16   0.0417  0.0202     0.0112  0.0759
     17   0.0370  0.0177     0.0094  0.0665
     18   0.0382  0.0175     0.0108  0.0674
     19   0.0394  0.0174     0.0125  0.0683

