Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.0837  1.5563    -4.4261 -0.2159
      1  -3.1499  1.2427    -5.8597 -2.1284
      2  -3.8444  1.3077    -7.3969 -3.0394
      3  -4.5080  1.5857    -8.4455 -3.4644
      4  -3.7693  0.6794    -4.4379 -3.4451
      5  -3.6734  0.5003    -4.0327 -3.4430
      6  -3.4987  0.8582    -4.2037 -2.8191
      7  -3.4038  0.7544    -3.9124 -2.7800
      8  -3.4565  0.5822    -3.8855 -3.2137
      9  -3.4318  0.4338    -3.8210 -3.2378
     10  -3.4380  0.3186    -3.8055 -3.3297
     11  -3.4193  0.2468    -3.6852 -3.3281
     12  -3.3392  0.4778    -3.6821 -3.0940
     13  -3.5742  1.3513    -7.0574 -2.1100
     14  -3.4658  1.0420    -5.2047 -2.5909
     15  -3.4020  0.7951    -4.0817 -2.7496
     16  -3.4128  0.6233    -3.9469 -2.9754
     17  -3.4250  0.4930    -3.9328 -3.1456
     18  -3.4400  0.3972    -3.9270 -3.1968
     19  -3.4553  0.3269    -3.9255 -3.2337

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0974  0.0607     0.0019  0.1893
      1   0.0944  0.0615     0.0013  0.1889
      2   0.0884  0.0628     0.0006  0.1880
      3   0.0707  0.0625     0.0001  0.1838
      4   0.0969  0.0603     0.0020  0.1892
      5   0.1080  0.0582     0.0079  0.1912
      6   0.0548  0.0437     0.0001  0.1398
      7   0.0600  0.0458     0.0001  0.1488
      8   0.0703  0.0460     0.0033  0.1565
      9   0.0734  0.0451     0.0085  0.1579
     10   0.0768  0.0441     0.0141  0.1596
     11   0.0820  0.0441     0.0173  0.1634
     12   0.0441  0.0261     0.0053  0.0893
     13   0.0159  0.0131     0.0000  0.0370
     14   0.0177  0.0127     0.0000  0.0380
     15   0.0187  0.0123     0.0001  0.0386
     16   0.0205  0.0122     0.0006  0.0399
     17   0.0221  0.0121     0.0016  0.0409
     18   0.0237  0.0121     0.0026  0.0425
     19   0.0251  0.0122     0.0038  0.0443

