trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1195 670.00  0.00 800.00  8.60  0
  1  655 370.00  0.00 800.00  8.60  1
  2  695 390.00  0.00 800.00 21.50  0
  3  693 390.00  0.00 800.00 12.90  1
  4  783 440.00  0.00 800.00 12.90  1
  5  713 400.00  0.00 800.00 21.50  0
  6  676 380.00  0.00 800.00 17.20  1
  7  713 400.00  0.00 800.00 17.20  0
  8  676 400.00  0.00 800.00 21.50  0
  9  676 360.00  0.00 800.00 12.90  1
 10  676 390.00  0.00 800.00 21.50  0
 11  676 380.00  0.00 800.00 12.90  1
 12  676 370.00  0.00 800.00 21.50  1
 13  676 400.00  0.00 800.00 21.50  1
 14  714 400.00  0.00 800.00 26.00  1
 15 1421 790.00  0.00 800.00 520.00  0
 16 1420 790.00  0.00 800.00 260.00  0
 17  858 480.00  0.00 800.00 26.00  1
 18 1421 790.00  0.00 800.00 520.00  0
 19 1421 790.00  0.00 800.00 260.00  0
