Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.7422  1.3295    -3.4056 -0.1855
      1  -2.6258  0.9892    -3.6719 -1.8612
      2  -3.0413  0.9168    -4.1792 -2.5329
      3  -3.4131  1.0966    -5.9786 -2.9129
      4  -4.3006  1.8210    -8.4971 -2.5022
      5  -3.6709  1.2179    -6.5396 -2.7409
      6  -4.3101  1.7236    -8.2382 -1.6770
      7  -4.2444  1.4803    -7.7619 -2.5606
      8  -4.0105  1.1297    -6.1896 -2.9400
      9  -3.8304  0.9331    -5.1855 -2.9925
     10  -3.7085  0.7786    -4.6461 -3.0121
     11  -3.9209  0.8716    -5.0170 -3.1875
     12  -3.8939  0.6988    -4.7979 -3.2578
     13  -3.8371  0.5722    -4.5887 -3.2722
     14  -3.9112  0.4959    -4.6211 -3.4697
     15  -3.9241  0.4169    -4.6012 -3.5278
     16  -4.1162  0.5485    -4.9337 -3.6776
     17  -4.0670  0.4513    -4.7344 -3.6778
     18  -4.1157  0.3999    -4.7583 -3.7497
     19  -4.0798  0.3391    -4.6824 -3.7453

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0988  0.0604     0.0010  0.1896
      1   0.0977  0.0610     0.0002  0.1895
      2   0.0975  0.0613     0.0001  0.1895
      3   0.0888  0.0638     0.0001  0.1884
      4   0.0236  0.0287     0.0000  0.0810
      5   0.0320  0.0316     0.0000  0.0930
      6   0.0098  0.0100     0.0000  0.0262
      7   0.0115  0.0099     0.0000  0.0273
      8   0.0134  0.0101     0.0000  0.0295
      9   0.0153  0.0106     0.0001  0.0323
     10   0.0171  0.0109     0.0001  0.0341
     11   0.0150  0.0100     0.0001  0.0307
     12   0.0156  0.0097     0.0003  0.0310
     13   0.0168  0.0098     0.0008  0.0322
     14   0.0182  0.0103     0.0011  0.0340
     15   0.0190  0.0102     0.0016  0.0344
     16   0.0142  0.0077     0.0007  0.0257
     17   0.0152  0.0077     0.0010  0.0265
     18   0.0161  0.0080     0.0013  0.0274
     19   0.0170  0.0080     0.0017  0.0283

