Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6438  2.6215    -8.0380 -0.0431
      1  -2.1374  2.7585    -8.3399 -0.1575
      2  -4.4695  2.7336    -8.9737 -0.5376
      3  -5.6595  2.5008    -9.1487 -0.9571
      4  -5.9522  2.3517    -9.1749 -1.2959
      5  -6.1865  2.1972    -9.1930 -1.7667
      6  -5.0869  1.9889    -8.4714 -1.3066
      7  -5.7475  1.7396    -8.6710 -2.2680
      8  -5.8546  1.5678    -8.6145 -3.1895
      9  -5.3937  1.3280    -7.4730 -3.0830
     10  -5.7164  1.1306    -7.5966 -4.2934
     11  -5.5193  0.9485    -6.9199 -4.3208
     12  -5.7880  0.8922    -7.1250 -4.8003
     13  -5.6802  0.7582    -6.7860 -4.8062
     14  -5.8164  0.6722    -6.8366 -5.0903
     15  -5.7234  0.5855    -6.6063 -5.0605
     16  -5.8120  0.5173    -6.6622 -5.2718
     17  -5.8897  0.4670    -6.7138 -5.3848
     18  -5.8222  0.4106    -6.5460 -5.3563
     19  -5.9133  0.3839    -6.5864 -5.5347

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0681  0.0671     0.0000  0.1848
      1   0.0544  0.0636     0.0000  0.1800
      2   0.0052  0.0061     0.0000  0.0132
      3   0.0044  0.0048     0.0000  0.0107
      4   0.0057  0.0048     0.0000  0.0117
      5   0.0068  0.0045     0.0000  0.0122
      6   0.0065  0.0044     0.0000  0.0118
      7   0.0069  0.0045     0.0000  0.0124
      8   0.0076  0.0042     0.0000  0.0126
      9   0.0081  0.0045     0.0001  0.0133
     10   0.0086  0.0046     0.0001  0.0138
     11   0.0092  0.0049     0.0001  0.0154
     12   0.0093  0.0049     0.0001  0.0157
     13   0.0099  0.0051     0.0003  0.0171
     14   0.0105  0.0053     0.0004  0.0182
     15   0.0112  0.0055     0.0006  0.0190
     16   0.0118  0.0058     0.0007  0.0197
     17   0.0124  0.0059     0.0008  0.0202
     18   0.0132  0.0061     0.0010  0.0207
     19   0.0135  0.0063     0.0010  0.0216

