Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.3657  2.8204    -8.9691 -0.2947
      1  -4.2023  2.8679    -8.9462 -0.2298
      2  -3.9640  2.9192    -8.9087 -0.1772
      3  -3.6706  2.9544    -8.8544 -0.1393
      4  -5.0713  2.6438    -9.0690 -0.6015
      5  -5.2463  2.5877    -9.0899 -0.6727
      6  -5.4083  2.5237    -9.1075 -0.7613
      7  -4.1495  2.2862    -8.4153 -0.4364
      8  -4.0736  2.1840    -8.1420 -0.4373
      9  -4.8118  1.7927    -8.2985 -1.8078
     10  -4.8254  1.6927    -8.1491 -2.1954
     11  -4.1562  1.4186    -6.4981 -1.7176
     12  -4.6220  1.2092    -6.7716 -3.0375
     13  -5.0539  1.1973    -7.3378 -3.5971
     14  -4.7944  0.9734    -6.3285 -3.5754
     15  -4.5626  0.8795    -5.8680 -3.4586
     16  -4.7779  0.8191    -6.0133 -3.8090
     17  -4.7800  0.7279    -5.9605 -3.8754
     18  -4.9602  0.6890    -6.0923 -4.1550
     19  -4.8194  0.6187    -5.8214 -4.0612

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0011  0.0031     0.0000  0.0050
      1   0.0019  0.0039     0.0000  0.0064
      2   0.0030  0.0047     0.0000  0.0080
      3   0.0043  0.0052     0.0000  0.0107
      4   0.0030  0.0036     0.0000  0.0064
      5   0.0041  0.0037     0.0000  0.0066
      6   0.0052  0.0035     0.0000  0.0068
      7   0.0050  0.0035     0.0000  0.0067
      8   0.0059  0.0031     0.0000  0.0068
      9   0.0062  0.0030     0.0000  0.0069
     10   0.0067  0.0025     0.0001  0.0069
     11   0.0068  0.0026     0.0001  0.0071
     12   0.0069  0.0026     0.0001  0.0080
     13   0.0068  0.0025     0.0001  0.0070
     14   0.0071  0.0025     0.0001  0.0085
     15   0.0072  0.0025     0.0001  0.0092
     16   0.0073  0.0026     0.0002  0.0098
     17   0.0074  0.0024     0.0003  0.0099
     18   0.0075  0.0024     0.0003  0.0103
     19   0.0077  0.0026     0.0004  0.0110

