Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.2313  2.1692    -7.2206 -0.0608
      1  -1.8247  2.4020    -7.9181 -0.3507
      2  -4.3528  2.7255    -8.9493 -0.6187
      3  -3.1377  2.4288    -8.4148 -0.4771
      4  -2.7381  2.1670    -7.8360 -0.4718
      5  -2.0986  1.9493    -7.1975 -0.3734
      6  -1.8089  1.6033    -5.5696 -0.3664
      7  -2.4853  1.6778    -6.6697 -0.7750
      8  -2.2959  1.4026    -5.1275 -0.8042
      9  -1.9356  1.2419    -3.9238 -0.6512
     10  -2.0728  1.0784    -3.6788 -1.0687
     11  -2.4182  1.1305    -4.3250 -1.4078
     12  -2.2240  0.9360    -3.4300 -1.3758
     13  -2.1008  0.7770    -3.0470 -1.3543
     14  -2.1693  0.6623    -3.0524 -1.5917
     15  -2.0766  0.5651    -2.8278 -1.5441
     16  -2.1367  0.4865    -2.8470 -1.6814
     17  -2.1879  0.4276    -2.8664 -1.8486
     18  -2.1304  0.3649    -2.7347 -1.8109
     19  -2.0771  0.3224    -2.6169 -1.7666

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0816  0.0658     0.0000  0.1872
      1   0.0677  0.0652     0.0000  0.1837
      2   0.0063  0.0074     0.0000  0.0170
      3   0.0075  0.0090     0.0000  0.0217
      4   0.0093  0.0092     0.0000  0.0241
      5   0.0114  0.0104     0.0000  0.0279
      6   0.0127  0.0102     0.0000  0.0293
      7   0.0094  0.0071     0.0000  0.0198
      8   0.0102  0.0069     0.0001  0.0201
      9   0.0113  0.0074     0.0001  0.0223
     10   0.0122  0.0078     0.0001  0.0244
     11   0.0107  0.0068     0.0001  0.0203
     12   0.0118  0.0071     0.0001  0.0220
     13   0.0128  0.0072     0.0004  0.0236
     14   0.0138  0.0075     0.0007  0.0251
     15   0.0148  0.0078     0.0009  0.0263
     16   0.0158  0.0080     0.0012  0.0272
     17   0.0166  0.0082     0.0014  0.0285
     18   0.0177  0.0084     0.0018  0.0302
     19   0.0187  0.0086     0.0023  0.0316

