Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.7314  1.3027    -5.1171 -6.5048
      1  -6.9815  1.1079    -8.1209 -5.8063
      2  -6.6971  1.0180    -7.5207 -5.5493
      3  -6.5460  0.9728    -7.2380 -5.3843
      4  -6.2859  1.1330    -7.0366 -3.9259
      5  -5.2522  1.8974    -7.0090 -1.0550
      6  -3.8263  2.1057    -7.0372 -0.4621
      7  -2.6472  2.0730    -7.1402 -0.2426
      8  -2.4219  1.8617    -6.0871 -0.2295
      9  -3.2858  1.6920    -6.3859 -0.8179
     10  -2.6436  1.6074    -5.9535 -0.5500
     11  -2.5129  1.4103    -5.0407 -0.5578
     12  -2.9925  1.2666    -5.3139 -1.3220
     13  -2.6305  1.1501    -4.4114 -1.0936
     14  -2.8836  1.0177    -4.5096 -1.6764
     15  -2.6650  0.9185    -3.9359 -1.5562
     16  -2.8177  0.8108    -4.0064 -1.9096
     17  -2.6602  0.7432    -3.6808 -1.8119
     18  -2.7534  0.6542    -3.7267 -2.0235
     19  -2.9802  0.7187    -4.0251 -2.2428

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0981  0.0609     0.0001  0.1895
      1   0.0953  0.0621     0.0001  0.1893
      2   0.0977  0.0617     0.0001  0.1897
      3   0.0997  0.0612     0.0006  0.1900
      4   0.0923  0.0635     0.0001  0.1894
      5   0.0228  0.0266     0.0000  0.0750
      6   0.0070  0.0051     0.0000  0.0132
      7   0.0058  0.0034     0.0000  0.0070
      8   0.0065  0.0030     0.0000  0.0075
      9   0.0064  0.0031     0.0000  0.0075
     10   0.0064  0.0030     0.0000  0.0070
     11   0.0068  0.0026     0.0001  0.0074
     12   0.0069  0.0027     0.0001  0.0087
     13   0.0071  0.0027     0.0001  0.0096
     14   0.0073  0.0029     0.0001  0.0106
     15   0.0076  0.0029     0.0002  0.0112
     16   0.0078  0.0031     0.0002  0.0119
     17   0.0081  0.0033     0.0003  0.0123
     18   0.0084  0.0035     0.0004  0.0128
     19   0.0077  0.0029     0.0003  0.0115

