trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  827 460.00  0.00 800.00 520.00  0
  1  732 410.00  0.00 800.00 26.00  0
  2  707 400.00  0.00 800.00  4.30  1
  3  693 390.00  0.00 800.00 12.90  1
  4  695 390.00  0.00 800.00 21.50  0
  5  783 440.00  0.00 800.00 12.90  1
  6  676 380.00  0.00 800.00 17.20  1
  7  713 400.00  0.00 800.00 21.50  0
  8  676 370.00  0.00 800.00 12.90  1
  9  713 390.00  0.00 800.00 17.20  1
 10  642 360.00  0.00 800.00 26.00  0
 11  695 390.00  0.00 800.00 21.50  0
 12  605 340.00  0.00 800.00 21.50  0
 13  676 380.00  0.00 800.00 17.20  0
 14  676 380.00  0.00 800.00 21.50  0
 15  676 380.00  0.00 800.00 21.50  0
 16  676 370.00  0.00 800.00 12.90  1
 17  676 390.00  0.00 800.00 21.50  0
 18  676 380.00  0.00 800.00 21.50  0
 19  783 440.00  0.00 800.00 12.90  1
