Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.5046  2.2342    -9.0914 -2.1589
      1  -3.7053  1.2555    -5.6637 -1.9428
      2  -2.7770  0.8241    -3.9042 -1.7872
      3  -3.3176  0.5768    -3.9500 -2.9050
      4  -3.5975  0.5058    -4.1345 -3.3534
      5  -3.7479  0.4974    -4.2799 -3.5463
      6  -4.0881  0.9082    -5.7388 -3.6055
      7  -4.5881  1.2619    -7.3154 -3.4104
      8  -4.3313  0.9642    -5.8804 -3.6394
      9  -4.2042  0.7759    -5.1566 -3.7106
     10  -4.1169  0.6393    -4.7828 -3.7205
     11  -4.2297  0.6403    -4.9220 -3.8734
     12  -4.1764  0.5217    -4.7161 -3.8899
     13  -4.2279  0.4543    -4.7251 -3.9862
     14  -4.1915  0.3712    -4.6640 -3.9836
     15  -4.1947  0.2915    -4.6551 -3.9971
     16  -4.1964  0.2376    -4.6495 -4.0051
     17  -4.1868  0.1992    -4.6165 -4.0047
     18  -4.2216  0.1725    -4.6443 -4.0704
     19  -4.2023  0.1469    -4.5531 -4.0562

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1038  0.0580     0.0079  0.1901
      1   0.1037  0.0582     0.0075  0.1901
      2   0.1040  0.0582     0.0076  0.1902
      3   0.1051  0.0576     0.0087  0.1903
      4   0.1053  0.0579     0.0084  0.1904
      5   0.1044  0.0585     0.0074  0.1904
      6   0.0430  0.0368     0.0001  0.1141
      7   0.0169  0.0147     0.0000  0.0422
      8   0.0205  0.0156     0.0001  0.0469
      9   0.0237  0.0162     0.0001  0.0508
     10   0.0265  0.0167     0.0005  0.0544
     11   0.0255  0.0160     0.0004  0.0520
     12   0.0280  0.0163     0.0020  0.0547
     13   0.0299  0.0169     0.0033  0.0580
     14   0.0323  0.0172     0.0057  0.0609
     15   0.0332  0.0170     0.0076  0.0614
     16   0.0339  0.0168     0.0083  0.0618
     17   0.0349  0.0167     0.0092  0.0626
     18   0.0368  0.0174     0.0100  0.0663
     19   0.0389  0.0179     0.0115  0.0688

