Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.2145  1.8399    -9.1630 -3.5431
      1  -4.6906  1.0193    -6.2453 -3.3748
      2  -3.9020  0.6915    -4.7314 -3.2209
      3  -4.2265  0.5564    -4.8556 -3.8507
      4  -4.3828  0.4799    -4.9387 -4.1972
      5  -4.2285  0.4362    -4.6586 -4.0602
      6  -4.2008  0.3282    -4.4743 -4.0675
      7  -4.2200  0.2416    -4.4740 -4.2221
      8  -4.2167  0.1762    -4.4721 -4.2226
      9  -4.2846  0.4422    -4.7143 -4.2206
     10  -4.2751  0.3300    -4.6999 -4.2226
     11  -4.2280  0.2742    -4.5752 -4.2205
     12  -4.2236  0.2047    -4.5278 -4.2215
     13  -4.2209  0.1559    -4.4811 -4.2222
     14  -4.2235  0.1196    -4.4787 -4.2243
     15  -4.2221  0.0969    -4.4772 -4.2245
     16  -4.2240  0.0802    -4.4772 -4.2262
     17  -4.2250  0.0703    -4.4772 -4.2271
     18  -4.2235  0.0627    -4.4756 -4.2271
     19  -4.2229  0.0587    -4.4749 -4.2271

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1015  0.0589     0.0058  0.1898
      1   0.1013  0.0590     0.0054  0.1898
      2   0.1012  0.0591     0.0048  0.1898
      3   0.1023  0.0586     0.0062  0.1899
      4   0.1051  0.0580     0.0083  0.1904
      5   0.1076  0.0573     0.0100  0.1908
      6   0.1156  0.0546     0.0185  0.1918
      7   0.1233  0.0513     0.0287  0.1927
      8   0.1247  0.0502     0.0330  0.1928
      9   0.0674  0.0407     0.0080  0.1430
     10   0.0696  0.0400     0.0125  0.1441
     11   0.0764  0.0416     0.0152  0.1529
     12   0.0783  0.0409     0.0183  0.1539
     13   0.0798  0.0404     0.0210  0.1547
     14   0.0808  0.0400     0.0228  0.1552
     15   0.0817  0.0397     0.0241  0.1556
     16   0.0827  0.0394     0.0259  0.1561
     17   0.0834  0.0391     0.0273  0.1564
     18   0.0842  0.0389     0.0284  0.1568
     19   0.0846  0.0388     0.0290  0.1570

