trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1051 590.00  0.00 800.00  8.60  1
  1  701 390.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  661 370.00  0.00 800.00 52.00  1
  4  769 430.00  0.00 800.00 52.00  1
  5  608 340.00  0.00 800.00 104.00  0
  6  626 350.00  0.00 800.00 104.00  0
  7  751 420.00  0.00 800.00 52.00  1
  8  626 340.00  0.00 800.00 156.00  0
  9  859 480.00  0.00 800.00 52.00  1
 10  626 370.00  0.00 800.00 156.00  0
 11  608 340.00  0.00 800.00 104.00  0
 12  626 330.00  0.00 800.00 156.00  0
 13  626 330.00  0.00 800.00 156.00  0
 14  626 350.00  0.00 800.00 52.00  1
 15  626 340.00  0.00 800.00 156.00  0
 16  626 370.00  0.00 800.00 52.00  1
 17  626 360.00  0.00 800.00 52.00  1
 18  626 330.00  0.00 800.00 156.00  0
 19  626 350.00  0.00 800.00 156.00  0
