Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.4872  1.3107    -6.1240 -6.0628
      1  -6.6233  0.9687    -7.7377 -5.8046
      2  -6.2015  0.8464    -6.9626 -5.4845
      3  -5.8608  0.9390    -6.5620 -4.5476
      4  -5.4071  1.3324    -6.6411 -2.3337
      5  -4.7661  1.6820    -7.2737 -1.1927
      6  -3.8042  2.1972    -8.2349 -0.4913
      7  -3.6477  2.0122    -7.6005 -0.5086
      8  -3.5338  1.8480    -6.5408 -0.5301
      9  -4.2006  1.4473    -6.4030 -1.6487
     10  -4.1818  1.2989    -6.0166 -1.9220
     11  -4.5973  1.0548    -6.0977 -3.0712
     12  -4.2194  1.0915    -5.7641 -2.6345
     13  -3.8103  1.2694    -5.7579 -1.8520
     14  -3.7702  1.1035    -5.3186 -2.0823
     15  -3.3402  1.2838    -5.2008 -1.3063
     16  -3.2887  1.1397    -4.8826 -1.4066
     17  -3.5705  0.9245    -4.9326 -2.3325
     18  -3.7622  0.8045    -4.9910 -2.7663
     19  -3.5487  0.7845    -4.6911 -2.5985

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0998  0.0600     0.0011  0.1897
      1   0.0981  0.0608     0.0001  0.1895
      2   0.0981  0.0611     0.0001  0.1896
      3   0.0885  0.0631     0.0001  0.1882
      4   0.0395  0.0413     0.0000  0.1239
      5   0.0131  0.0141     0.0000  0.0381
      6   0.0045  0.0042     0.0000  0.0081
      7   0.0056  0.0040     0.0000  0.0094
      8   0.0065  0.0036     0.0000  0.0102
      9   0.0070  0.0039     0.0000  0.0117
     10   0.0075  0.0036     0.0001  0.0119
     11   0.0079  0.0039     0.0001  0.0127
     12   0.0074  0.0035     0.0001  0.0117
     13   0.0066  0.0031     0.0000  0.0087
     14   0.0070  0.0027     0.0001  0.0090
     15   0.0065  0.0025     0.0000  0.0068
     16   0.0068  0.0021     0.0001  0.0069
     17   0.0070  0.0021     0.0002  0.0069
     18   0.0071  0.0021     0.0002  0.0076
     19   0.0072  0.0021     0.0002  0.0079

