Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.4444  1.4535    -4.1378 -0.1430
      1  -2.1296  1.3527    -5.3932 -1.3305
      2  -2.4698  1.3925    -6.2188 -1.7657
      3  -2.7473  1.5109    -7.0032 -2.0578
      4  -3.3528  1.8753    -8.1614 -2.2030
      5  -5.1460  2.1947    -9.0080 -2.4873
      6  -6.6659  1.7834    -8.7063 -3.6445
      7  -5.5926  1.5373    -8.4099 -3.1704
      8  -4.9285  1.3138    -7.1564 -2.9121
      9  -4.3071  1.3220    -6.6272 -2.4667
     10  -4.2837  1.1660    -6.2020 -2.6659
     11  -4.6396  1.0391    -6.3448 -3.2609
     12  -4.3342  0.9483    -5.7725 -3.0885
     13  -3.9734  1.0525    -5.5384 -2.6793
     14  -3.9453  0.9034    -5.3066 -2.7792
     15  -4.0896  0.7924    -5.3395 -3.1326
     16  -4.3319  0.7706    -5.5314 -3.4570
     17  -4.2062  0.6790    -5.2470 -3.4202
     18  -4.3218  0.6152    -5.3171 -3.6297
     19  -4.2573  0.5411    -5.1669 -3.6078

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0954  0.0617     0.0001  0.1891
      1   0.0928  0.0625     0.0001  0.1888
      2   0.0910  0.0627     0.0001  0.1884
      3   0.0886  0.0635     0.0003  0.1882
      4   0.0679  0.0621     0.0001  0.1822
      5   0.0131  0.0122     0.0001  0.0335
      6   0.0088  0.0052     0.0001  0.0155
      7   0.0087  0.0053     0.0001  0.0156
      8   0.0090  0.0055     0.0001  0.0163
      9   0.0080  0.0048     0.0000  0.0134
     10   0.0085  0.0045     0.0001  0.0135
     11   0.0087  0.0046     0.0001  0.0138
     12   0.0090  0.0048     0.0001  0.0143
     13   0.0079  0.0040     0.0001  0.0128
     14   0.0083  0.0038     0.0001  0.0128
     15   0.0087  0.0039     0.0003  0.0132
     16   0.0085  0.0038     0.0002  0.0130
     17   0.0089  0.0040     0.0003  0.0134
     18   0.0093  0.0042     0.0004  0.0137
     19   0.0097  0.0043     0.0005  0.0140

