Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.1416  1.8791    -9.1554 -3.4099
      1  -4.6195  1.0574    -6.2402 -3.2572
      2  -3.8302  0.7154    -4.7255 -3.1798
      3  -3.4384  0.6153    -4.0972 -3.0028
      4  -3.2691  0.5629    -3.7836 -2.9038
      5  -3.1019  0.5896    -3.5958 -2.5004
      6  -2.6833  1.0675    -3.5670 -0.8057
      7  -2.0473  1.3810    -3.8648 -0.3001
      8  -2.4136  1.1208    -3.6048 -0.9730
      9  -2.6157  0.9157    -3.4984 -1.6671
     10  -2.6999  0.7405    -3.4181 -2.0954
     11  -2.5342  0.8288    -3.3130 -1.8575
     12  -2.5536  0.6614    -3.2238 -2.0799
     13  -2.4439  0.6375    -3.0746 -1.9609
     14  -2.4684  0.5157    -3.0606 -2.1309
     15  -2.4024  0.4508    -2.8929 -2.1172
     16  -2.4337  0.3749    -2.8958 -2.1691
     17  -2.3846  0.3271    -2.8561 -2.1526
     18  -2.2976  0.4577    -2.8039 -1.9913
     19  -2.3095  0.3685    -2.8000 -2.1151

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1010  0.0592     0.0052  0.1898
      1   0.1008  0.0593     0.0050  0.1897
      2   0.1011  0.0594     0.0049  0.1898
      3   0.1004  0.0594     0.0048  0.1897
      4   0.1025  0.0590     0.0057  0.1901
      5   0.0994  0.0601     0.0044  0.1897
      6   0.0360  0.0344     0.0001  0.1038
      7   0.0128  0.0101     0.0001  0.0293
      8   0.0155  0.0114     0.0001  0.0341
      9   0.0183  0.0124     0.0001  0.0387
     10   0.0206  0.0129     0.0006  0.0412
     11   0.0180  0.0113     0.0001  0.0360
     12   0.0197  0.0114     0.0009  0.0379
     13   0.0201  0.0116     0.0010  0.0387
     14   0.0217  0.0117     0.0019  0.0403
     15   0.0230  0.0122     0.0025  0.0423
     16   0.0246  0.0124     0.0037  0.0447
     17   0.0261  0.0129     0.0047  0.0468
     18   0.0205  0.0101     0.0021  0.0356
     19   0.0216  0.0101     0.0031  0.0369

