trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  628 350.00  0.00 800.00 260.00  0
  1  693 390.00  0.00 800.00 12.90  0
  2  742 420.00  0.00 800.00  3.00  1
  3  744 420.00  0.00 800.00  6.44  0
  4  707 400.00  0.00 800.00  4.30  0
  5  724 410.00  0.00 800.00  3.00  1
  6  725 410.00  0.00 800.00  4.30  0
  7  724 420.00  0.00 800.00  2.00  1
  8  707 400.00  0.00 800.00  4.30  0
  9  724 390.00  0.00 800.00  4.30  1
 10  725 410.00  0.00 800.00  4.30  0
 11  725 410.00  0.00 800.00  3.00  1
 12  725 390.00  0.00 800.00  3.00  1
 13  725 420.00  0.00 800.00  6.44  0
 14  725 420.00  0.00 800.00  6.44  0
 15  707 400.00  0.00 800.00  4.30  0
 16  707 420.00  0.00 800.00  3.00  0
 17  706 400.00  0.00 800.00  3.00  0
 18  688 390.00  0.00 800.00  3.00  1
 19  706 400.00  0.00 800.00  2.00  1
