Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.4092  2.8041    -8.9745 -0.3272
      1  -4.2840  2.8421    -8.9573 -0.2641
      2  -4.1128  2.8842    -8.9316 -0.2144
      3  -3.9193  2.9187    -8.8992 -0.1776
      4  -5.4294  2.5690    -9.1196 -0.7561
      5  -5.6782  2.4639    -9.1447 -0.9323
      6  -5.8824  2.3546    -9.1628 -1.1690
      7  -4.7197  2.1373    -8.3711 -0.7039
      8  -5.1625  1.7718    -8.3399 -1.9899
      9  -4.5998  1.5542    -7.2039 -1.7478
     10  -3.8019  1.7911    -7.3426 -0.7293
     11  -3.7123  1.6249    -6.4446 -0.7834
     12  -4.0655  1.2989    -6.2528 -2.1435
     13  -4.5089  1.1877    -6.5453 -2.9597
     14  -4.5014  1.0664    -6.3134 -3.1295
     15  -4.1830  0.9501    -5.6983 -2.9487
     16  -4.4800  0.8904    -5.9341 -3.4338
     17  -4.2756  0.8050    -5.5080 -3.3049
     18  -4.1090  0.7471    -5.2155 -3.2049
     19  -4.2573  0.6809    -5.2933 -3.4752

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0014  0.0033     0.0000  0.0056
      1   0.0022  0.0040     0.0000  0.0066
      2   0.0034  0.0046     0.0000  0.0083
      3   0.0047  0.0049     0.0000  0.0105
      4   0.0038  0.0039     0.0000  0.0068
      5   0.0050  0.0038     0.0000  0.0069
      6   0.0059  0.0035     0.0000  0.0075
      7   0.0058  0.0035     0.0000  0.0070
      8   0.0064  0.0032     0.0000  0.0083
      9   0.0066  0.0032     0.0000  0.0093
     10   0.0057  0.0032     0.0000  0.0068
     11   0.0064  0.0027     0.0000  0.0069
     12   0.0067  0.0025     0.0001  0.0069
     13   0.0066  0.0025     0.0001  0.0069
     14   0.0069  0.0021     0.0001  0.0069
     15   0.0070  0.0022     0.0001  0.0070
     16   0.0070  0.0022     0.0001  0.0070
     17   0.0071  0.0022     0.0002  0.0080
     18   0.0073  0.0023     0.0002  0.0088
     19   0.0074  0.0024     0.0003  0.0097

