Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7077  2.1193    -9.1115 -2.5731
      1  -4.0473  1.2230    -5.9427 -2.4070
      2  -5.0150  0.7561    -6.0369 -4.2484
      3  -4.4854  0.5744    -5.1570 -4.0891
      4  -4.3176  0.4999    -4.7936 -4.0004
      5  -4.1661  0.5049    -4.6265 -3.7940
      6  -4.2298  0.3375    -4.6273 -4.2170
      7  -4.3920  0.6744    -4.9626 -4.0583
      8  -4.4752  0.6180    -4.9899 -4.2407
      9  -4.5019  0.4976    -4.9656 -4.3531
     10  -4.4776  0.3720    -4.7783 -4.3729
     11  -4.4646  0.2961    -4.7341 -4.3692
     12  -4.4615  0.2208    -4.7311 -4.3822
     13  -4.4628  0.1657    -4.7307 -4.3975
     14  -4.4796  0.2669    -4.7402 -4.4796
     15  -4.5423  0.6062    -5.0472 -4.3402
     16  -4.6683  1.0244    -6.1582 -3.6809
     17  -4.6658  0.7785    -5.4734 -4.2733
     18  -4.6634  0.5944    -5.3286 -4.3619
     19  -4.8338  1.1037    -6.6271 -3.4142

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1009  0.0591     0.0056  0.1897
      1   0.1005  0.0592     0.0055  0.1897
      2   0.1011  0.0592     0.0054  0.1898
      3   0.1004  0.0593     0.0049  0.1897
      4   0.1036  0.0587     0.0065  0.1903
      5   0.1017  0.0596     0.0055  0.1901
      6   0.1139  0.0556     0.0148  0.1917
      7   0.0559  0.0410     0.0001  0.1332
      8   0.0603  0.0430     0.0006  0.1415
      9   0.0674  0.0437     0.0038  0.1484
     10   0.0732  0.0427     0.0095  0.1519
     11   0.0796  0.0428     0.0147  0.1576
     12   0.0822  0.0420     0.0191  0.1588
     13   0.0828  0.0416     0.0209  0.1591
     14   0.0603  0.0322     0.0118  0.1167
     15   0.0309  0.0189     0.0005  0.0619
     16   0.0170  0.0122     0.0000  0.0358
     17   0.0181  0.0117     0.0001  0.0365
     18   0.0188  0.0114     0.0004  0.0369
     19   0.0092  0.0064     0.0000  0.0183

