Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.2831  1.8029    -9.1699 -3.6778
      1  -4.7616  0.9887    -6.2540 -3.5151
      2  -4.0972  0.6882    -4.9826 -3.4488
      3  -3.7098  0.5861    -4.3462 -3.2988
      4  -3.5420  0.5272    -3.9989 -3.1996
      5  -3.3850  0.5462    -3.8565 -2.9427
      6  -3.0519  0.9960    -3.8693 -1.4740
      7  -2.5626  1.3818    -4.9734 -0.6130
      8  -2.8143  1.0912    -4.0532 -1.5037
      9  -2.9326  0.8791    -3.7832 -2.1176
     10  -3.0011  0.7196    -3.6859 -2.4314
     11  -2.8528  0.8539    -3.6477 -2.1790
     12  -2.8529  0.6762    -3.5373 -2.3885
     13  -2.8634  0.5449    -3.4863 -2.4686
     14  -2.7624  0.5468    -3.3583 -2.4067
     15  -2.7052  0.4632    -3.2040 -2.3974
     16  -2.7314  0.3839    -3.2117 -2.4588
     17  -2.6757  0.3458    -3.1380 -2.4313
     18  -2.6421  0.2942    -3.1040 -2.4219
     19  -2.6634  0.2449    -3.1101 -2.4735

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1014  0.0591     0.0055  0.1898
      1   0.1012  0.0592     0.0050  0.1898
      2   0.1023  0.0591     0.0055  0.1901
      3   0.1016  0.0593     0.0050  0.1900
      4   0.1044  0.0590     0.0062  0.1906
      5   0.1011  0.0603     0.0047  0.1903
      6   0.0366  0.0341     0.0001  0.1032
      7   0.0133  0.0111     0.0000  0.0321
      8   0.0161  0.0121     0.0001  0.0362
      9   0.0188  0.0128     0.0001  0.0397
     10   0.0211  0.0133     0.0005  0.0426
     11   0.0175  0.0111     0.0001  0.0345
     12   0.0190  0.0111     0.0006  0.0363
     13   0.0203  0.0111     0.0015  0.0379
     14   0.0204  0.0112     0.0014  0.0382
     15   0.0219  0.0115     0.0022  0.0401
     16   0.0234  0.0117     0.0032  0.0415
     17   0.0245  0.0122     0.0039  0.0439
     18   0.0259  0.0125     0.0051  0.0459
     19   0.0274  0.0126     0.0071  0.0474

