Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.6130  1.2925    -3.1616 -0.1713
      1  -2.3624  0.9754    -3.3934 -1.6078
      2  -2.7658  0.8767    -3.7048 -2.2983
      3  -2.9003  0.7931    -3.7484 -2.5732
      4  -3.0757  0.8341    -4.2096 -2.7342
      5  -3.6647  1.3920    -7.2874 -2.8012
      6  -3.3017  0.9338    -4.7108 -2.8529
      7  -3.3829  0.8669    -4.6641 -2.9547
      8  -3.7473  1.1639    -6.4176 -3.0101
      9  -3.5481  0.8739    -4.7291 -3.0694
     10  -3.4466  0.6815    -4.1516 -3.1020
     11  -3.5453  0.6741    -4.2474 -3.1982
     12  -3.4776  0.5383    -3.9930 -3.1986
     13  -3.4306  0.4354    -3.9097 -3.1958
     14  -3.4607  0.3685    -3.9161 -3.2474
     15  -3.5857  0.5469    -4.1257 -3.3314
     16  -3.5505  0.4268    -3.9623 -3.3416
     17  -3.6265  0.4602    -4.1027 -3.4368
     18  -3.6495  0.3925    -4.1060 -3.4553
     19  -3.6269  0.3108    -3.9947 -3.4549

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0992  0.0604     0.0002  0.1896
      1   0.0989  0.0607     0.0001  0.1897
      2   0.0987  0.0611     0.0001  0.1898
      3   0.1011  0.0605     0.0016  0.1902
      4   0.0970  0.0618     0.0011  0.1898
      5   0.0344  0.0349     0.0000  0.1033
      6   0.0431  0.0362     0.0001  0.1129
      7   0.0434  0.0362     0.0001  0.1136
      8   0.0205  0.0169     0.0000  0.0498
      9   0.0241  0.0173     0.0001  0.0534
     10   0.0270  0.0174     0.0005  0.0561
     11   0.0258  0.0165     0.0005  0.0534
     12   0.0284  0.0168     0.0022  0.0562
     13   0.0308  0.0171     0.0043  0.0593
     14   0.0329  0.0177     0.0063  0.0623
     15   0.0239  0.0128     0.0016  0.0439
     16   0.0254  0.0126     0.0034  0.0452
     17   0.0243  0.0124     0.0026  0.0438
     18   0.0258  0.0128     0.0037  0.0460
     19   0.0272  0.0127     0.0061  0.0471

