Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.5215  1.3254    -3.0842 -0.1590
      1  -0.8789  1.1388    -1.8496 -0.0925
      2  -1.2570  1.0370    -2.1071 -0.7990
      3  -1.0652  0.9118    -1.5416 -0.6881
      4  -0.9251  0.9017    -1.3000 -0.5764
      5  -0.9036  0.6986    -1.2710 -0.8026
      6  -0.8722  0.5179    -1.2487 -0.8086
      7  -0.8544  0.3851    -1.2364 -0.8115
      8  -1.4491  1.4070    -4.8756 -0.8334
      9  -1.2606  1.0775    -2.0840 -0.8345
     10  -1.1482  0.8517    -1.5612 -0.8310
     11  -1.1266  1.0774    -1.7413 -0.7552
     12  -1.0452  1.0496    -1.5379 -0.6666
     13  -0.9507  0.8750    -1.3067 -0.6512
     14  -1.3656  1.8934    -6.7532 -0.3010
     15  -1.0574  1.4576    -4.5526 -0.2967
     16  -0.8777  1.0905    -1.5025 -0.2947
     17  -0.8296  0.8632    -1.2998 -0.3650
     18  -0.8080  0.6814    -1.2742 -0.4671
     19  -0.8021  0.5400    -1.2621 -0.5502

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0978  0.0610     0.0001  0.1895
      1   0.0990  0.0603     0.0005  0.1895
      2   0.0986  0.0607     0.0002  0.1896
      3   0.1023  0.0594     0.0032  0.1901
      4   0.1010  0.0596     0.0035  0.1899
      5   0.1120  0.0563     0.0116  0.1914
      6   0.1167  0.0537     0.0209  0.1918
      7   0.1203  0.0517     0.0279  0.1922
      8   0.0337  0.0262     0.0000  0.0799
      9   0.0374  0.0258     0.0001  0.0826
     10   0.0414  0.0261     0.0024  0.0870
     11   0.0329  0.0206     0.0001  0.0673
     12   0.0337  0.0212     0.0001  0.0690
     13   0.0368  0.0218     0.0019  0.0734
     14   0.0149  0.0118     0.0000  0.0335
     15   0.0164  0.0114     0.0000  0.0341
     16   0.0172  0.0110     0.0001  0.0344
     17   0.0189  0.0110     0.0007  0.0362
     18   0.0203  0.0110     0.0014  0.0377
     19   0.0217  0.0110     0.0023  0.0390

