Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.9986  1.3814    -3.9470 -0.2144
      1  -1.0790  1.0661    -2.1181 -0.1180
      2  -1.5846  0.8917    -2.3338 -1.0706
      3  -1.8542  0.8321    -2.5831 -1.4877
      4  -2.0100  0.8204    -2.9039 -1.6915
      5  -2.5513  1.3417    -5.7244 -1.8074
      6  -2.2659  1.0656    -3.9125 -1.8045
      7  -2.1478  1.1041    -3.8819 -1.6716
      8  -2.4306  1.3678    -6.0490 -1.7250
      9  -2.2684  1.0404    -3.6998 -1.7998
     10  -2.1493  0.8063    -2.7126 -1.8319
     11  -2.1953  0.7298    -2.7194 -1.8938
     12  -2.1335  0.5557    -2.5299 -1.8962
     13  -2.1452  0.4544    -2.5203 -1.9743
     14  -2.3738  0.9471    -3.3387 -1.9652
     15  -2.2805  0.7197    -2.8400 -1.9833
     16  -2.5965  1.1908    -5.2483 -1.9592
     17  -2.4771  0.9019    -3.3835 -2.0102
     18  -2.3934  0.6968    -3.0486 -2.0306
     19  -2.3363  0.5471    -2.8754 -2.0374

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1002  0.0596     0.0026  0.1897
      1   0.1009  0.0594     0.0035  0.1898
      2   0.1006  0.0598     0.0028  0.1898
      3   0.1003  0.0600     0.0025  0.1898
      4   0.0988  0.0605     0.0021  0.1896
      5   0.0374  0.0360     0.0000  0.1080
      6   0.0467  0.0376     0.0001  0.1180
      7   0.0470  0.0369     0.0001  0.1157
      8   0.0313  0.0267     0.0000  0.0792
      9   0.0336  0.0263     0.0001  0.0807
     10   0.0376  0.0263     0.0006  0.0843
     11   0.0411  0.0282     0.0014  0.0917
     12   0.0448  0.0281     0.0046  0.0948
     13   0.0492  0.0290     0.0074  0.1006
     14   0.0236  0.0154     0.0001  0.0486
     15   0.0255  0.0151     0.0010  0.0501
     16   0.0147  0.0097     0.0000  0.0290
     17   0.0156  0.0093     0.0001  0.0295
     18   0.0168  0.0091     0.0006  0.0304
     19   0.0179  0.0090     0.0012  0.0314

