Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.1252  1.4214    -7.5245 -5.3465
      1  -6.1297  0.9523    -7.3527 -5.2736
      2  -5.5953  0.7664    -6.3830 -5.0525
      3  -5.2990  0.7530    -5.9411 -4.6802
      4  -5.4961  0.6332    -6.0311 -5.2935
      5  -5.4762  0.5015    -5.7924 -5.3196
      6  -5.1711  1.0143    -5.9385 -3.3481
      7  -5.0596  1.0043    -5.7704 -3.1586
      8  -5.2249  0.6639    -5.7531 -4.8558
      9  -5.2090  0.5491    -5.6480 -4.9613
     10  -4.9031  1.0856    -5.7773 -2.8859
     11  -5.0493  0.8224    -5.6891 -4.2548
     12  -4.7429  1.2899    -6.8117 -2.1147
     13  -4.7811  1.0228    -5.7482 -3.2190
     14  -4.8763  0.8017    -5.6106 -4.0664
     15  -4.9385  0.6318    -5.5337 -4.4506
     16  -4.9853  0.5060    -5.5259 -4.6187
     17  -5.0203  0.4109    -5.5243 -4.7568
     18  -5.0491  0.3415    -5.5250 -4.7963
     19  -5.1470  0.4568    -5.7290 -4.8521

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0997  0.0599     0.0027  0.1896
      1   0.0989  0.0603     0.0023  0.1896
      2   0.0989  0.0602     0.0022  0.1895
      3   0.0982  0.0608     0.0018  0.1895
      4   0.1007  0.0599     0.0024  0.1899
      5   0.1107  0.0572     0.0086  0.1913
      6   0.0483  0.0405     0.0001  0.1248
      7   0.0497  0.0420     0.0001  0.1301
      8   0.0581  0.0415     0.0004  0.1362
      9   0.0644  0.0425     0.0032  0.1432
     10   0.0227  0.0188     0.0000  0.0552
     11   0.0267  0.0190     0.0001  0.0592
     12   0.0125  0.0102     0.0000  0.0280
     13   0.0138  0.0099     0.0000  0.0290
     14   0.0155  0.0099     0.0001  0.0308
     15   0.0171  0.0098     0.0004  0.0321
     16   0.0185  0.0098     0.0011  0.0332
     17   0.0198  0.0098     0.0018  0.0341
     18   0.0209  0.0098     0.0027  0.0354
     19   0.0171  0.0084     0.0012  0.0290

